Name, Ek_iso, Ek_iso_err_upper, Ek_iso_err_lower, n, n_err_upper, n_err_lower
050709, 2.6e-3, 0.8e-3, 0.5e-3, 1.0, 0.5, 0.4
050724A, 0.18, 0.08, 0.05, 0.89, 0.58, 0.49
051221A, 0.16, 0.01, 0.01, 0.03, 0.006, 0.005
060121, 0.20, 0.05, 0.04, 5.4e-3, 5.6e-3, 2.2e-3
060313, 0.45, 0.05, 0.05, 3.3e-3, 1.0e-3, 0.5e-3
061006, 0.64, 0.85, 0.37, 2.2e-5, 16e-5, 1.9e-5
061201, 0.05, 0.10, 0.03, 5.0e-5, 66e-5, 4.6e-5
070714B, 0.1, 0.02, 0.02, 0.056, 0.024, 0.011
070724A, 0.35, 0.49, 0.20, 1.9e-5, 12e-5, 1.6e-5
070809, 0.5, 0.7, 0.3, 2.2e-5, 15e-5, 1.9e-5
071227, 8.4e-3, 2.5e-3, 1.9e-3, 1.9, 2.4, 1.1
080426, 0.05, 0.01, 0.01, 0.04, 0.04, 0.02
080905A, 0.04, 0.12, 0.03, 1.3e-4, 33e-4, 1.2e-4
080919, 0.019, 0.005, 0.004, 0.20, 0.19, 0.07
081024A, 0.11, 0.22, 0.07, 8.1e-5, 150e-5, 7.7e-5
081226A, 0.20, 0.36, 0.13, 3.2e-5, 29e-5, 2.9e-5
090426A, 1.4, 0.4, 0.3, 0.04, 0.04, 0.02
090510, 0.77, 0.57, 0.33, 1.2e-5, 5.5e-5, 1.0e-5
090607, 2.1e-3, 0.4e-3, 0.3e-3, 0.84, 0.52, 0.22
090621B, 0.023, 0.007, 0.006, 0.05, 0.06, 0.02
091109B, 0.25, 0.18, 0.16, 2.8e-5, 24e-5, 2.5e-5
100117A, 0.019, 0.003, 0.003, 0.04, 0.03, 0.01
101219A, 0.3, 0.5, 0.2, 4.6e-5, 59e-5, 4.3e-5
110112A, 0.064, 0.008, 0.005, 2.4e-2, 0.4e-2, 0.4e-2
111020A, 0.48, 0.09, 0.08, 4.5e-3, 6.0e-3, 3.8e-3
111117A, 0.06, 0.01, 0.01, 8.3e-3, 5.9e-3, 2.3e-3
111121A, 3.1, 1.9, 1.2, 8.2e-6, 27e-6, 6.3e-6
120804A, 1.1, 0.3, 0.2, 3.2e-3, 3.1e-3, 1.5e-3
121226A, 0.6, 0.08, 0.09, 4.0e-3, 1.0e-3, 0.6e-3
130603B, 0.11, 0.02, 0.01, 0.09, 0.04, 0.03
130912A, 0.50, 0.37, 0.20, 1.7e-5, 9.9e-5, 1.5e-5
131004A, 1.2, 0.56, 0.36, 1.2e-5, 5.7e-5, 1.0e-5
140129B, 0.98, 1.14, 0.53, 3.1e-5, 29.4e-5, 2.8e-5
140516A, 0.02, 0.04, 0.01, 1.0e-4, 24e-4, 0.99e-4
140622A, 0.12, 0.26, 0.08, 5.8e-5, 8.8e-5, 5.4e-5
140903A, 2.9, 0.92, 0.74, 3.4e-3, 2.9e-3, 1.6e-3
140930B, 0.28, 0.42, 0.17, 4.6e-5, 58e-5, 4.3e-5
150101B, 0.61, 0.45, 0.25, 8.0e-6, 24e-6, 6.1e-6
