# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# meta: !!omap
# - comment: [E = 0.0003123183844771778, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 0.00015848931924611142,
#     p = 2.15, theta_obs = 0.29670597283903605, xiN = 1.0, z = 0.0, type = grb, E_kiso = 0.7196856730011522]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y ukirt_J ukirt_H ukirt_K
0.01 19.055 19.104 19.029 18.836 18.694 18.555 18.916 18.814 18.692 18.55 18.409 18.261 18.819 18.646 18.475 18.354 18.243 18.583 18.44 18.32 18.221 18.053 18.031 17.862 17.672
0.0102 18.91 18.96 18.885 18.692 18.55 18.411 18.771 18.67 18.547 18.405 18.265 18.116 18.675 18.502 18.33 18.21 18.099 18.438 18.296 18.176 18.077 17.909 17.887 17.718 17.527
0.0105 18.766 18.816 18.741 18.548 18.405 18.266 18.627 18.525 18.403 18.261 18.121 17.972 18.531 18.358 18.186 18.065 17.955 18.294 18.152 18.032 17.933 17.764 17.743 17.573 17.383
0.0107 18.622 18.671 18.597 18.404 18.261 18.122 18.483 18.381 18.259 18.117 17.976 17.828 18.386 18.214 18.042 17.921 17.81 18.15 18.007 17.887 17.788 17.62 17.598 17.429 17.239
0.011 18.478 18.527 18.452 18.259 18.117 17.978 18.339 18.237 18.114 17.973 17.832 17.684 18.242 18.069 17.898 17.777 17.666 18.006 17.863 17.743 17.644 17.476 17.454 17.285 17.095
0.0113 18.333 18.383 18.308 18.115 17.973 17.833 18.194 18.093 17.97 17.828 17.688 17.539 18.098 17.925 17.753 17.633 17.522 17.861 17.719 17.599 17.5 17.332 17.31 17.141 16.95
0.0115 18.189 18.239 18.164 17.971 17.828 17.689 18.05 17.948 17.826 17.684 17.544 17.395 17.953 17.781 17.609 17.488 17.378 17.717 17.574 17.455 17.356 17.187 17.166 16.996 16.806
0.0118 18.045 18.094 18.019 17.826 17.684 17.545 17.906 17.804 17.682 17.54 17.399 17.251 17.809 17.637 17.465 17.344 17.233 17.573 17.43 17.31 17.211 17.043 17.021 16.852 16.662
0.0121 17.901 17.95 17.875 17.682 17.54 17.401 17.761 17.66 17.537 17.395 17.255 17.106 17.665 17.492 17.32 17.2 17.089 17.428 17.286 17.166 17.067 16.899 16.877 16.708 16.517
0.0124 17.756 17.806 17.731 17.538 17.395 17.256 17.617 17.515 17.393 17.251 17.111 16.962 17.521 17.348 17.176 17.055 16.945 17.284 17.142 17.022 16.923 16.755 16.733 16.563 16.373
0.0127 17.657 17.707 17.632 17.439 17.296 17.157 17.518 17.416 17.294 17.152 17.012 16.863 17.421 17.249 17.077 16.956 16.846 17.185 17.043 16.923 16.824 16.655 16.634 16.464 16.274
0.013 17.601 17.65 17.575 17.382 17.24 17.101 17.462 17.36 17.238 17.096 16.955 16.807 17.365 17.192 17.021 16.9 16.789 17.129 16.986 16.866 16.767 16.599 16.577 16.408 16.218
0.0133 17.544 17.594 17.519 17.326 17.184 17.045 17.405 17.304 17.181 17.039 16.899 16.75 17.309 17.136 16.964 16.844 16.733 17.072 16.93 16.81 16.711 16.543 16.521 16.352 16.161
0.0136 17.488 17.537 17.463 17.27 17.127 16.988 17.349 17.247 17.125 16.983 16.843 16.694 17.252 17.08 16.908 16.787 16.677 17.016 16.873 16.754 16.655 16.486 16.465 16.295 16.105
0.014 17.432 17.481 17.406 17.213 17.071 16.932 17.293 17.191 17.068 16.927 16.786 16.638 17.196 17.023 16.852 16.731 16.62 16.96 16.817 16.697 16.598 16.43 16.408 16.239 16.049
0.0143 17.375 17.425 17.35 17.157 17.015 16.875 17.236 17.135 17.012 16.87 16.73 16.581 17.14 16.967 16.795 16.674 16.564 16.903 16.761 16.641 16.542 16.374 16.352 16.183 15.992
0.0146 17.319 17.368 17.294 17.101 16.958 16.819 17.18 17.078 16.956 16.814 16.673 16.525 17.083 16.911 16.739 16.618 16.507 16.847 16.704 16.584 16.485 16.317 16.295 16.126 15.936
0.015 17.263 17.312 17.237 17.044 16.902 16.763 17.123 17.022 16.899 16.758 16.617 16.468 17.027 16.854 16.682 16.562 16.451 16.791 16.648 16.528 16.429 16.261 16.239 16.07 15.879
0.0154 17.206 17.256 17.181 16.988 16.845 16.706 17.067 16.965 16.843 16.701 16.561 16.412 16.97 16.798 16.626 16.505 16.395 16.734 16.592 16.472 16.373 16.204 16.183 16.013 15.823
0.0157 17.15 17.199 17.124 16.931 16.789 16.65 17.011 16.909 16.787 16.645 16.504 16.356 16.914 16.742 16.57 16.449 16.338 16.678 16.535 16.415 16.316 16.148 16.126 15.957 15.767
0.0161 17.075 17.125 17.05 16.857 16.715 16.576 16.936 16.835 16.712 16.57 16.43 16.281 16.84 16.667 16.495 16.375 16.264 16.603 16.461 16.341 16.242 16.074 16.052 15.883 15.692
0.0165 16.992 17.041 16.966 16.773 16.631 16.492 16.853 16.751 16.629 16.487 16.346 16.198 16.756 16.583 16.412 16.291 16.18 16.52 16.377 16.257 16.158 15.99 15.968 15.799 15.609
0.0169 16.908 16.957 16.883 16.69 16.547 16.408 16.769 16.667 16.545 16.403 16.262 16.114 16.672 16.5 16.328 16.207 16.096 16.436 16.293 16.174 16.074 15.906 15.885 15.715 15.525
