# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [E = 8.378552168254816e-05, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 1.584893192461114e-05,
#     p = 2.15, theta_obs = 0.29670597283903605, xiN = 1.0, z = 0.0, type = grb, E_kiso = 0.19306977288832505]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.0102 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.0105 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.0107 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.011 27.9 27.95 27.875 27.682 27.54 27.401 27.761 27.66 27.537 27.395 27.255 27.106 27.665 27.492 27.32 27.2 27.089 27.428 27.286 27.166 27.067 26.899 27.323 27.418 27.265 26.877 26.708 26.517 27.232
0.0113 27.337 27.386 27.312 27.119 26.976 26.837 27.198 27.096 26.974 26.832 26.691 26.543 27.101 26.929 26.757 26.636 26.526 26.865 26.722 26.603 26.504 26.335 26.759 26.854 26.702 26.314 26.144 25.954 26.669
0.0115 26.774 26.823 26.748 26.555 26.413 26.274 26.635 26.533 26.41 26.269 26.128 25.979 26.538 26.365 26.193 26.073 25.962 26.302 26.159 26.039 25.94 25.772 26.196 26.291 26.138 25.75 25.581 25.39 26.105
0.0118 26.21 26.26 26.185 25.992 25.849 25.71 26.071 25.969 25.847 25.705 25.565 25.416 25.974 25.802 25.63 25.509 25.399 25.738 25.596 25.476 25.377 25.208 25.632 25.727 25.575 25.187 25.017 24.827 25.542
0.0121 25.647 25.696 25.621 25.428 25.286 25.147 25.508 25.406 25.284 25.142 25.001 24.853 25.411 25.238 25.067 24.946 24.835 25.175 25.032 24.912 24.813 24.645 25.069 25.164 25.011 24.623 24.454 24.264 24.979
0.0124 25.083 25.133 25.058 24.865 24.723 24.583 24.944 24.843 24.72 24.578 24.438 24.289 24.848 24.675 24.503 24.383 24.272 24.611 24.469 24.349 24.25 24.082 24.505 24.601 24.448 24.06 23.891 23.7 24.415
