# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [E = 0.0008378552168254813, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 0.00039810717055349735,
#     p = 2.15, theta_obs = 0.29670597283903605, xiN = 1.0, z = 0.0, type = grb, E_kiso = 1.9306977288832496]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.01 17.641 17.691 17.616 17.423 17.281 17.141 17.502 17.401 17.278 17.136 16.996 16.847 17.406 17.233 17.061 16.94 16.83 17.169 17.027 16.907 16.808 16.64 17.063 17.159 17.006 16.618 16.449 16.258 16.973
0.0102 17.184 17.234 17.159 16.966 16.824 16.684 17.045 16.944 16.821 16.679 16.539 16.39 16.949 16.776 16.604 16.483 16.373 16.712 16.57 16.45 16.351 16.183 16.606 16.702 16.549 16.161 15.992 15.801 16.516
0.0105 17.04 17.089 17.015 16.822 16.679 16.54 16.901 16.799 16.677 16.535 16.395 16.246 16.804 16.632 16.46 16.339 16.229 16.568 16.425 16.306 16.207 16.038 16.462 16.557 16.405 16.017 15.847 15.657 16.372
0.0107 16.896 16.945 16.87 16.677 16.535 16.396 16.757 16.655 16.533 16.391 16.25 16.102 16.66 16.487 16.316 16.195 16.084 16.424 16.281 16.161 16.062 15.894 16.318 16.413 16.26 15.872 15.703 15.513 16.228
0.011 16.751 16.801 16.726 16.533 16.391 16.252 16.612 16.511 16.388 16.246 16.106 15.957 16.516 16.343 16.171 16.051 15.94 16.279 16.137 16.017 15.918 15.75 16.174 16.269 16.116 15.728 15.559 15.368 16.083
0.0113 16.607 16.657 16.582 16.389 16.246 16.107 16.468 16.366 16.244 16.102 15.962 15.813 16.371 16.199 16.027 15.906 15.796 16.135 15.993 15.873 15.774 15.605 16.029 16.124 15.972 15.584 15.414 15.224 15.939
0.0115 16.463 16.512 16.437 16.245 16.102 15.963 16.324 16.222 16.1 15.958 15.817 15.669 16.227 16.055 15.883 15.762 15.651 15.991 15.848 15.728 15.629 15.461 15.885 15.98 15.827 15.439 15.27 15.08 15.795
0.0118 16.319 16.368 16.293 16.1 15.958 15.819 16.18 16.078 15.955 15.814 15.673 15.525 16.083 15.91 15.738 15.618 15.507 15.847 15.704 15.584 15.485 15.317 15.741 15.836 15.683 15.295 15.126 14.935 15.65
0.0121 16.174 16.224 16.149 15.956 15.814 15.674 16.035 15.934 15.811 15.669 15.529 15.38 15.939 15.766 15.594 15.473 15.363 15.702 15.56 15.44 15.341 15.173 15.596 15.692 15.539 15.151 14.982 14.791 15.506
0.0124 16.03 16.079 16.005 15.812 15.669 15.53 15.891 15.789 15.667 15.525 15.385 15.236 15.794 15.622 15.45 15.329 15.219 15.558 15.415 15.296 15.197 15.028 15.452 15.547 15.395 15.007 14.837 14.647 15.362
