# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# meta: !!omap
# - comment: [E = 0.31231838447717747, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 1.0, p
#       = 2.15, theta_obs = 0.29670597283903605, xiN = 1.0, z = 0.0, type = grb, E_kiso = 719.6856730011514]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y ukirt_J ukirt_H ukirt_K
0.01 1.612 1.661 1.586 1.393 1.251 1.112 1.473 1.371 1.249 1.107 0.966 0.818 1.376 1.204 1.032 0.911 0.8 1.14 0.997 0.877 0.778 0.61 0.588 0.419 0.229
0.0102 1.528 1.578 1.503 1.31 1.167 1.028 1.389 1.287 1.165 1.023 0.883 0.734 1.292 1.12 0.948 0.827 0.717 1.056 0.913 0.794 0.695 0.526 0.505 0.335 0.145
0.0105 1.444 1.494 1.419 1.226 1.084 0.944 1.305 1.204 1.081 0.939 0.799 0.65 1.209 1.036 0.864 0.744 0.633 0.972 0.83 0.71 0.611 0.443 0.421 0.252 0.061
0.0107 1.361 1.41 1.335 1.142 1.0 0.861 1.222 1.12 0.997 0.856 0.715 0.566 1.125 0.952 0.78 0.66 0.549 0.889 0.746 0.626 0.527 0.359 0.337 0.168 -0.023
0.011 1.147 1.197 1.122 0.929 0.786 0.647 1.008 0.906 0.784 0.642 0.502 0.353 0.911 0.739 0.567 0.446 0.336 0.675 0.533 0.413 0.314 0.145 0.124 -0.046 -0.236
0.0113 0.832 0.881 0.806 0.613 0.471 0.332 0.693 0.591 0.468 0.327 0.186 0.038 0.596 0.423 0.252 0.131 0.02 0.36 0.217 0.097 -0.002 -0.17 -0.192 -0.361 -0.551
0.0115 0.516 0.566 0.491 0.298 0.155 0.016 0.377 0.275 0.153 0.011 -0.129 -0.278 0.28 0.108 -0.064 -0.185 -0.295 0.044 -0.098 -0.218 -0.317 -0.486 -0.507 -0.677 -0.867
0.0118 0.201 0.25 0.175 -0.018 -0.16 -0.299 0.062 -0.04 -0.162 -0.304 -0.445 -0.593 -0.035 -0.208 -0.379 -0.5 -0.611 -0.271 -0.414 -0.534 -0.633 -0.801 -0.823 -0.992 -1.182
0.0121 -0.115 -0.065 -0.14 -0.333 -0.476 -0.615 -0.254 -0.356 -0.478 -0.62 -0.76 -0.909 -0.35 -0.523 -0.695 -0.816 -0.926 -0.587 -0.729 -0.849 -0.948 -1.117 -1.138 -1.308 -1.498
0.0124 -0.43 -0.381 -0.456 -0.649 -0.791 -0.93 -0.569 -0.671 -0.793 -0.935 -1.076 -1.224 -0.666 -0.839 -1.01 -1.131 -1.242 -0.902 -1.045 -1.165 -1.264 -1.432 -1.454 -1.623 -1.813
0.0127 -0.746 -0.696 -0.771 -0.964 -1.107 -1.246 -0.885 -0.986 -1.109 -1.251 -1.391 -1.54 -0.981 -1.154 -1.326 -1.447 -1.557 -1.218 -1.36 -1.48 -1.579 -1.747 -1.769 -1.939 -2.129
0.013 -1.061 -1.012 -1.087 -1.28 -1.422 -1.561 -1.2 -1.302 -1.424 -1.566 -1.707 -1.855 -1.297 -1.47 -1.641 -1.762 -1.873 -1.533 -1.676 -1.796 -1.895 -2.063 -2.085 -2.254 -2.444
0.0133 -1.377 -1.327 -1.402 -1.595 -1.737 -1.877 -1.516 -1.617 -1.74 -1.882 -2.022 -2.171 -1.612 -1.785 -1.957 -2.078 -2.188 -1.849 -1.991 -2.111 -2.21 -2.378 -2.4 -2.569 -2.76
0.0136 -1.692 -1.643 -1.718 -1.911 -2.053 -2.192 -1.831 -1.933 -2.055 -2.197 -2.338 -2.486 -1.928 -2.1 -2.272 -2.393 -2.504 -2.164 -2.307 -2.427 -2.526 -2.694 -2.716 -2.885 -3.075
0.014 -1.882 -1.833 -1.908 -2.1 -2.243 -2.382 -2.021 -2.123 -2.245 -2.387 -2.528 -2.676 -2.118 -2.29 -2.462 -2.583 -2.694 -2.354 -2.497 -2.617 -2.716 -2.884 -2.906 -3.075 -3.265
0.0143 -2.019 -1.97 -2.044 -2.237 -2.38 -2.519 -2.158 -2.26 -2.382 -2.524 -2.664 -2.813 -2.255 -2.427 -2.599 -2.72 -2.83 -2.491 -2.634 -2.753 -2.852 -3.021 -3.042 -3.212 -3.402
0.0146 -2.156 -2.106 -2.181 -2.374 -2.517 -2.656 -2.295 -2.397 -2.519 -2.661 -2.801 -2.95 -2.391 -2.564 -2.736 -2.857 -2.967 -2.628 -2.77 -2.89 -2.989 -3.158 -3.179 -3.349 -3.539
0.015 -2.293 -2.243 -2.318 -2.511 -2.653 -2.793 -2.432 -2.533 -2.656 -2.798 -2.938 -3.087 -2.528 -2.701 -2.873 -2.993 -3.104 -2.765 -2.907 -3.027 -3.126 -3.294 -3.316 -3.485 -3.676
0.0154 -2.429 -2.38 -2.455 -2.648 -2.79 -2.929 -2.569 -2.67 -2.793 -2.935 -3.075 -3.224 -2.665 -2.838 -3.01 -3.13 -3.241 -2.902 -3.044 -3.164 -3.263 -3.431 -3.453 -3.622 -3.813
0.0157 -2.566 -2.517 -2.592 -2.785 -2.927 -3.066 -2.705 -2.807 -2.929 -3.071 -3.212 -3.36 -2.802 -2.975 -3.146 -3.267 -3.378 -3.038 -3.181 -3.301 -3.4 -3.568 -3.59 -3.759 -3.949
0.0161 -2.703 -2.654 -2.729 -2.922 -3.064 -3.203 -2.842 -2.944 -3.066 -3.208 -3.349 -3.497 -2.939 -3.111 -3.283 -3.404 -3.515 -3.175 -3.318 -3.438 -3.537 -3.705 -3.727 -3.896 -4.086
0.0165 -2.84 -2.791 -2.865 -3.058 -3.201 -3.34 -2.979 -3.081 -3.203 -3.345 -3.486 -3.634 -3.076 -3.248 -3.42 -3.541 -3.651 -3.312 -3.455 -3.574 -3.673 -3.842 -3.863 -4.033 -4.223
0.0169 -2.977 -2.927 -3.002 -3.195 -3.338 -3.477 -3.116 -3.218 -3.34 -3.482 -3.622 -3.771 -3.213 -3.385 -3.557 -3.678 -3.788 -3.449 -3.591 -3.711 -3.81 -3.979 -4.0 -4.17 -4.36
0.0173 -3.114 -3.064 -3.139 -3.332 -3.474 -3.614 -3.253 -3.354 -3.477 -3.619 -3.759 -3.908 -3.349 -3.522 -3.694 -3.815 -3.925 -3.586 -3.728 -3.848 -3.947 -4.115 -4.137 -4.306 -4.497
0.0177 -3.203 -3.153 -3.228 -3.421 -3.563 -3.703 -3.342 -3.443 -3.566 -3.708 -3.848 -3.997 -3.438 -3.611 -3.783 -3.903 -4.014 -3.675 -3.817 -3.937 -4.036 -4.204 -4.226 -4.395 -4.586
0.0181 -3.283 -3.233 -3.308 -3.501 -3.644 -3.783 -3.422 -3.524 -3.646 -3.788 -3.928 -4.077 -3.519 -3.691 -3.863 -3.984 -4.094 -3.755 -3.897 -4.017 -4.116 -4.285 -4.306 -4.476 -4.666
0.0186 -3.363 -3.314 -3.388 -3.581 -3.724 -3.863 -3.502 -3.604 -3.726 -3.868 -4.009 -4.157 -3.599 -3.771 -3.943 -4.064 -4.175 -3.835 -3.978 -4.098 -4.197 -4.365 -4.386 -4.556 -4.746
0.019 -3.443 -3.394 -3.469 -3.662 -3.804 -3.943 -3.582 -3.684 -3.806 -3.948 -4.089 -4.237 -3.679 -3.852 -4.023 -4.144 -4.255 -3.915 -4.058 -4.178 -4.277 -4.445 -4.467 -4.636 -4.826
0.0195 -3.524 -3.474 -3.549 -3.742 -3.884 -4.023 -3.663 -3.764 -3.887 -4.029 -4.169 -4.318 -3.759 -3.932 -4.104 -4.224 -4.335 -3.996 -4.138 -4.258 -4.357 -4.525 -4.547 -4.716 -4.907
0.02 -3.604 -3.554 -3.629 -3.822 -3.965 -4.104 -3.743 -3.844 -3.967 -4.109 -4.249 -4.398 -3.839 -4.012 -4.184 -4.305 -4.415 -4.076 -4.218 -4.338 -4.437 -4.605 -4.627 -4.796 -4.987
0.0204 -3.684 -3.635 -3.709 -3.902 -4.045 -4.184 -3.823 -3.925 -4.047 -4.189 -4.329 -4.478 -3.92 -4.092 -4.264 -4.385 -4.495 -4.156 -4.299 -4.418 -4.517 -4.686 -4.707 -4.877 -5.067
