# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [E = 0.16176451642579392, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 0.1, p
#       = 2.15, theta_obs = 0.29670597283903605, xiN = 1.0, z = 0.0, type = grb, E_kiso = 372.7593720314938]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.01 6.358 6.408 6.333 6.14 5.998 5.858 6.219 6.118 5.995 5.853 5.713 5.564 6.123 5.95 5.778 5.658 5.547 5.886 5.744 5.624 5.525 5.357 5.78 5.876 5.723 5.335 5.166 4.975 5.69
0.0102 6.214 6.264 6.189 5.996 5.853 5.714 6.075 5.973 5.851 5.709 5.569 5.42 5.978 5.806 5.634 5.513 5.403 5.742 5.599 5.48 5.381 5.212 5.636 5.731 5.579 5.191 5.021 4.831 5.546
0.0105 6.07 6.119 6.044 5.851 5.709 5.57 5.931 5.829 5.707 5.565 5.424 5.276 5.834 5.661 5.49 5.369 5.258 5.598 5.455 5.335 5.236 5.068 5.492 5.587 5.434 5.046 4.877 4.687 5.402
0.0107 5.926 5.975 5.9 5.707 5.565 5.426 5.786 5.685 5.562 5.42 5.28 5.131 5.69 5.517 5.345 5.225 5.114 5.453 5.311 5.191 5.092 4.924 5.348 5.443 5.29 4.902 4.733 4.542 5.257
0.011 5.781 5.831 5.756 5.563 5.42 5.281 5.642 5.54 5.418 5.276 5.136 4.987 5.546 5.373 5.201 5.08 4.97 5.309 5.167 5.047 4.948 4.779 5.203 5.299 5.146 4.758 4.588 4.398 5.113
0.0113 5.637 5.686 5.612 5.419 5.276 5.137 5.498 5.396 5.274 5.132 4.991 4.843 5.401 5.229 5.057 4.936 4.825 5.165 5.022 4.903 4.803 4.635 5.059 5.154 5.001 4.614 4.444 4.254 4.969
0.0115 5.493 5.542 5.467 5.274 5.132 4.993 5.354 5.252 5.129 4.988 4.847 4.699 5.257 5.084 4.913 4.792 4.681 5.021 4.878 4.758 4.659 4.491 4.915 5.01 4.857 4.469 4.3 4.11 4.825
0.0118 5.372 5.422 5.347 5.154 5.012 4.873 5.233 5.132 5.009 4.867 4.727 4.578 5.137 4.964 4.792 4.672 4.561 4.9 4.758 4.638 4.539 4.371 4.795 4.89 4.737 4.349 4.18 3.989 4.704
0.0121 5.316 5.366 5.291 5.098 4.955 4.816 5.177 5.075 4.953 4.811 4.671 4.522 5.08 4.908 4.736 4.615 4.505 4.844 4.701 4.582 4.483 4.314 4.738 4.833 4.681 4.293 4.123 3.933 4.648
0.0124 5.26 5.309 5.234 5.041 4.899 4.76 5.121 5.019 4.897 4.755 4.614 4.466 5.024 4.851 4.68 4.559 4.448 4.788 4.645 4.525 4.426 4.258 4.682 4.777 4.624 4.236 4.067 3.877 4.592
0.0127 5.203 5.253 5.178 4.985 4.843 4.703 5.064 4.963 4.84 4.698 4.558 4.409 4.968 4.795 4.623 4.503 4.392 4.731 4.589 4.469 4.37 4.202 4.625 4.721 4.568 4.18 4.011 3.82 4.535
0.013 5.147 5.196 5.122 4.929 4.786 4.647 5.008 4.906 4.784 4.642 4.501 4.353 4.911 4.739 4.567 4.446 4.336 4.675 4.532 4.413 4.314 4.145 4.569 4.664 4.512 4.124 3.954 3.764 4.479
0.0133 5.091 5.14 5.065 4.872 4.73 4.591 4.952 4.85 4.727 4.586 4.445 4.297 4.855 4.682 4.51 4.39 4.279 4.619 4.476 4.356 4.257 4.089 4.513 4.608 4.455 4.067 3.898 3.708 4.423
0.0136 5.034 5.084 5.009 4.816 4.673 4.534 4.895 4.794 4.671 4.529 4.389 4.24 4.799 4.626 4.454 4.333 4.223 4.562 4.42 4.3 4.201 4.033 4.456 4.552 4.399 4.011 3.841 3.651 4.366
0.014 4.978 5.027 4.952 4.76 4.617 4.478 4.839 4.737 4.615 4.473 4.332 4.184 4.742 4.57 4.398 4.277 4.166 4.506 4.363 4.243 4.144 3.976 4.4 4.495 4.342 3.954 3.785 3.595 4.31
0.0143 4.922 4.971 4.896 4.703 4.561 4.422 4.782 4.681 4.558 4.416 4.276 4.127 4.686 4.513 4.341 4.221 4.11 4.449 4.307 4.187 4.088 3.92 4.344 4.439 4.286 3.898 3.729 3.538 4.253
0.0146 4.865 4.915 4.84 4.647 4.504 4.365 4.726 4.624 4.502 4.36 4.22 4.071 4.629 4.457 4.285 4.164 4.054 4.393 4.251 4.131 4.032 3.863 4.287 4.382 4.23 3.842 3.672 3.482 4.197
0.015 4.797 4.847 4.772 4.579 4.437 4.297 4.658 4.557 4.434 4.292 4.152 4.003 4.562 4.389 4.217 4.096 3.986 4.325 4.183 4.063 3.964 3.796 4.219 4.315 4.162 3.774 3.605 3.414 4.129
0.0154 4.714 4.763 4.688 4.495 4.353 4.214 4.575 4.473 4.35 4.209 4.068 3.919 4.478 4.305 4.133 4.013 3.902 4.242 4.099 3.979 3.88 3.712 4.136 4.231 4.078 3.69 3.521 3.33 4.045
0.0157 4.63 4.679 4.604 4.411 4.269 4.13 4.491 4.389 4.267 4.125 3.984 3.836 4.394 4.222 4.05 3.929 3.818 4.158 4.015 3.895 3.796 3.628 4.052 4.147 3.994 3.606 3.437 3.247 3.962
