# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [E = 6.029923955985726e-06, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 0.3981071705534969,
#     p = 2.15, theta_obs = 0.29670597283903605, xiN = 1.0, z = 0.0, type = grb, E_kiso = 0.013894954943731374]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.01 4.656 4.706 4.631 4.438 4.295 4.156 4.517 4.415 4.293 4.151 4.011 3.862 4.421 4.248 4.076 3.955 3.845 4.184 4.042 3.922 3.823 3.655 4.078 4.174 4.021 3.633 3.463 3.273 3.988
0.0102 4.642 4.691 4.616 4.424 4.281 4.142 4.503 4.401 4.279 4.137 3.996 3.848 4.406 4.234 4.062 3.941 3.83 4.17 4.027 3.907 3.808 3.64 4.064 4.159 4.006 3.618 3.449 3.259 3.974
0.0105 4.628 4.677 4.602 4.409 4.267 4.128 4.488 4.387 4.264 4.123 3.982 3.833 4.392 4.219 4.047 3.927 3.816 4.156 4.013 3.893 3.794 3.626 4.05 4.145 3.992 3.604 3.435 3.244 3.959
0.0107 4.614 4.664 4.589 4.396 4.254 4.115 4.475 4.374 4.251 4.109 3.969 3.82 4.379 4.206 4.034 3.914 3.803 4.142 4.0 3.88 3.781 3.613 4.037 4.132 3.979 3.591 3.422 3.231 3.946
0.011 4.603 4.652 4.577 4.384 4.242 4.103 4.464 4.362 4.24 4.098 3.957 3.809 4.367 4.194 4.023 3.902 3.791 4.131 3.988 3.868 3.769 3.601 4.025 4.12 3.967 3.579 3.41 3.22 3.935
0.0113 4.591 4.64 4.566 4.373 4.23 4.091 4.452 4.35 4.228 4.086 3.945 3.797 4.355 4.183 4.011 3.89 3.78 4.119 3.976 3.857 3.758 3.589 4.013 4.108 3.956 3.568 3.398 3.208 3.923
0.0115 4.579 4.629 4.554 4.361 4.218 4.079 4.44 4.339 4.216 4.074 3.934 3.785 4.344 4.171 3.999 3.878 3.768 4.107 3.965 3.845 3.746 3.578 4.001 4.097 3.944 3.556 3.387 3.196 3.911
0.0118 4.568 4.617 4.542 4.349 4.207 4.068 4.428 4.327 4.204 4.062 3.922 3.773 4.332 4.159 3.987 3.867 3.756 4.095 3.953 3.833 3.734 3.566 3.99 4.085 3.932 3.544 3.375 3.184 3.899
0.0121 4.556 4.605 4.53 4.337 4.195 4.056 4.417 4.315 4.193 4.051 3.91 3.762 4.32 4.148 3.976 3.855 3.744 4.084 3.941 3.821 3.722 3.554 3.978 4.073 3.92 3.532 3.363 3.173 3.888
0.0124 4.544 4.594 4.519 4.326 4.183 4.044 4.405 4.303 4.181 4.039 3.899 3.75 4.308 4.136 3.964 3.843 3.733 4.072 3.929 3.81 3.711 3.542 3.966 4.061 3.909 3.521 3.351 3.161 3.876
