# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# meta: !!omap
# - comment: [E = 3.1231838447717776e-05, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 1e-05,
#     p = 2.15, theta_obs = 0.29670597283903605, xiN = 1.0, z = 0.0, type = grb, E_kiso = 0.07196856730011521]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y ukirt_J ukirt_H ukirt_K
0.01 27.473 27.522 27.447 27.254 27.112 26.973 27.334 27.232 27.109 26.968 26.827 26.679 27.237 27.064 26.892 26.772 26.661 27.001 26.858 26.738 26.639 26.471 26.449 26.28 26.09
0.0102 26.909 26.959 26.884 26.691 26.548 26.409 26.77 26.668 26.546 26.404 26.264 26.115 26.674 26.501 26.329 26.208 26.098 26.437 26.295 26.175 26.076 25.907 25.886 25.716 25.526
0.0105 26.346 26.395 26.32 26.127 25.985 25.846 26.207 26.105 25.983 25.841 25.7 25.552 26.11 25.938 25.766 25.645 25.534 25.874 25.731 25.611 25.512 25.344 25.322 25.153 24.963
0.0107 25.782 25.832 25.757 25.564 25.422 25.283 25.643 25.542 25.419 25.277 25.137 24.988 25.547 25.374 25.202 25.082 24.971 25.31 25.168 25.048 24.949 24.781 24.759 24.59 24.399
0.011 25.219 25.268 25.194 25.001 24.858 24.719 25.08 24.978 24.856 24.714 24.573 24.425 24.983 24.811 24.639 24.518 24.408 24.747 24.604 24.485 24.386 24.217 24.196 24.026 23.836
0.0113 24.656 24.705 24.63 24.437 24.295 24.156 24.517 24.415 24.292 24.151 24.01 23.862 24.42 24.247 24.075 23.955 23.844 24.184 24.041 23.921 23.822 23.654 23.632 23.463 23.272
0.0115 24.092 24.142 24.067 23.874 23.731 23.592 23.953 23.851 23.729 23.587 23.447 23.298 23.856 23.684 23.512 23.391 23.281 23.62 23.478 23.358 23.259 23.09 23.069 22.899 22.709
0.0118 23.836 23.886 23.811 23.618 23.476 23.337 23.697 23.596 23.473 23.331 23.191 23.042 23.601 23.428 23.256 23.136 23.025 23.364 23.222 23.102 23.003 22.835 22.813 22.644 22.453
0.0121 23.692 23.742 23.667 23.474 23.331 23.192 23.553 23.451 23.329 23.187 23.047 22.898 23.456 23.284 23.112 22.991 22.881 23.22 23.078 22.958 22.859 22.69 22.669 22.499 22.309
0.0124 23.548 23.597 23.522 23.33 23.187 23.048 23.409 23.307 23.185 23.043 22.902 22.754 23.312 23.14 22.968 22.847 22.736 23.076 22.933 22.813 22.714 22.546 22.524 22.355 22.165
0.0127 23.404 23.453 23.378 23.185 23.043 22.904 23.265 23.163 23.04 22.899 22.758 22.61 23.168 22.995 22.823 22.703 22.592 22.932 22.789 22.669 22.57 22.402 22.38 22.211 22.021
0.013 23.259 23.309 23.234 23.041 22.899 22.759 23.12 23.019 22.896 22.754 22.614 22.465 23.024 22.851 22.679 22.558 22.448 22.787 22.645 22.525 22.426 22.258 22.236 22.067 21.876
0.0133 23.115 23.164 23.09 22.897 22.754 22.615 22.976 22.874 22.752 22.61 22.47 22.321 22.879 22.707 22.535 22.414 22.304 22.643 22.5 22.381 22.282 22.113 22.092 21.922 21.732
0.0136 22.971 23.02 22.945 22.752 22.61 22.471 22.832 22.73 22.608 22.466 22.325 22.177 22.735 22.562 22.391 22.27 22.159 22.499 22.356 22.236 22.137 21.969 21.947 21.778 21.588
0.014 22.826 22.876 22.801 22.608 22.466 22.327 22.687 22.586 22.463 22.321 22.181 22.032 22.591 22.418 22.246 22.126 22.015 22.354 22.212 22.092 21.993 21.825 21.803 21.634 21.443
0.0143 22.682 22.732 22.657 22.464 22.321 22.182 22.543 22.441 22.319 22.177 22.037 21.888 22.446 22.274 22.102 21.981 21.871 22.21 22.068 21.948 21.849 21.68 21.659 21.489 21.299
0.0146 22.544 22.594 22.519 22.326 22.184 22.045 22.405 22.304 22.181 22.039 21.899 21.75 22.309 22.136 21.964 21.844 21.733 22.072 21.93 21.81 21.711 21.543 21.521 21.352 21.161
0.015 22.488 22.538 22.463 22.27 22.127 21.988 22.349 22.247 22.125 21.983 21.843 21.694 22.252 22.08 21.908 21.787 21.677 22.016 21.873 21.754 21.655 21.486 21.465 21.295 21.105
0.0154 22.432 22.481 22.406 22.213 22.071 21.932 22.293 22.191 22.069 21.927 21.786 21.638 22.196 22.023 21.852 21.731 21.62 21.96 21.817 21.697 21.598 21.43 21.408 21.239 21.049
0.0157 22.375 22.425 22.35 22.157 22.015 21.875 22.236 22.135 22.012 21.87 21.73 21.581 22.14 21.967 21.795 21.674 21.564 21.903 21.761 21.641 21.542 21.374 21.352 21.183 20.992
0.0161 22.319 22.368 22.294 22.101 21.958 21.819 22.18 22.078 21.956 21.814 21.673 21.525 22.083 21.911 21.739 21.618 21.507 21.847 21.704 21.585 21.486 21.317 21.296 21.126 20.936
0.0165 22.263 22.312 22.237 22.044 21.902 21.763 22.124 22.022 21.899 21.758 21.617 21.468 22.027 21.854 21.682 21.562 21.451 21.791 21.648 21.528 21.429 21.261 21.239 21.07 20.879
0.0169 22.206 22.256 22.181 21.988 21.845 21.706 22.067 21.965 21.843 21.701 21.561 21.412 21.971 21.798 21.626 21.505 21.395 21.734 21.592 21.472 21.373 21.204 21.183 21.013 20.823
0.0173 22.15 22.199 22.124 21.931 21.789 21.65 22.011 21.909 21.787 21.645 21.504 21.356 21.914 21.742 21.57 21.449 21.338 21.678 21.535 21.415 21.316 21.148 21.126 20.957 20.767
0.0177 22.093 22.143 22.068 21.875 21.733 21.594 21.954 21.853 21.73 21.588 21.448 21.299 21.858 21.685 21.513 21.393 21.282 21.621 21.479 21.359 21.26 21.092 21.07 20.901 20.71
0.0181 22.037 22.087 22.012 21.819 21.676 21.537 21.898 21.796 21.674 21.532 21.392 21.243 21.801 21.629 21.457 21.336 21.226 21.565 21.422 21.303 21.204 21.035 21.014 20.844 20.654
0.0186 21.975 22.024 21.949 21.756 21.614 21.475 21.836 21.734 21.612 21.47 21.329 21.181 21.739 21.566 21.395 21.274 21.163 21.503 21.36 21.24 21.141 20.973 20.951 20.782 20.592
0.019 21.891 21.94 21.866 21.673 21.53 21.391 21.752 21.65 21.528 21.386 21.246 21.097 21.655 21.483 21.311 21.19 21.08 21.419 21.276 21.157 21.058 20.889 20.868 20.698 20.508
0.0195 21.807 21.857 21.782 21.589 21.447 21.307 21.668 21.567 21.444 21.302 21.162 21.013 21.572 21.399 21.227 21.106 20.996 21.335 21.193 21.073 20.974 20.806 20.784 20.615 20.424
