# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# meta: !!omap
# - comment: [E = 2.247710667230903e-05, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 3.981071705534969e-06,
#     p = 2.15, theta_obs = 0.29670597283903605, xiN = 1.0, z = 0.0, type = grb, E_kiso = 0.05179474679231213]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y ukirt_J ukirt_H ukirt_K
0.01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.0102 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.0105 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.0107 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.011 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.0113 30.465 30.515 30.44 30.247 30.104 29.965 30.326 30.224 30.102 29.96 29.82 29.671 30.229 30.057 29.885 29.764 29.654 29.993 29.851 29.731 29.632 29.463 29.442 29.272 29.082
0.0115 29.902 29.951 29.876 29.683 29.541 29.402 29.763 29.661 29.539 29.397 29.256 29.108 29.666 29.493 29.322 29.201 29.09 29.43 29.287 29.167 29.068 28.9 28.878 28.709 28.519
0.0118 29.338 29.388 29.313 29.12 28.978 28.838 29.199 29.098 28.975 28.833 28.693 28.544 29.103 28.93 28.758 28.637 28.527 28.866 28.724 28.604 28.505 28.337 28.315 28.146 27.955
0.0121 28.775 28.824 28.75 28.557 28.414 28.275 28.636 28.534 28.412 28.27 28.129 27.981 28.539 28.367 28.195 28.074 27.963 28.303 28.16 28.04 27.941 27.773 27.751 27.582 27.392
0.0124 28.212 28.261 28.186 27.993 27.851 27.712 28.072 27.971 27.848 27.706 27.566 27.417 27.976 27.803 27.631 27.511 27.4 27.739 27.597 27.477 27.378 27.21 27.188 27.019 26.828
0.0127 27.648 27.698 27.623 27.43 27.287 27.148 27.509 27.407 27.285 27.143 27.003 26.854 27.412 27.24 27.068 26.947 26.837 27.176 27.034 26.914 26.815 26.646 26.625 26.455 26.265
0.013 27.085 27.134 27.059 26.866 26.724 26.585 26.946 26.844 26.722 26.58 26.439 26.291 26.849 26.676 26.505 26.384 26.273 26.613 26.47 26.35 26.251 26.083 26.061 25.892 25.702
0.0133 26.521 26.571 26.496 26.303 26.161 26.021 26.382 26.281 26.158 26.016 25.876 25.727 26.286 26.113 25.941 25.82 25.71 26.049 25.907 25.787 25.688 25.52 25.498 25.329 25.138
0.0136 25.958 26.007 25.933 25.74 25.597 25.458 25.819 25.717 25.595 25.453 25.312 25.164 25.722 25.55 25.378 25.257 25.146 25.486 25.343 25.223 25.124 24.956 24.934 24.765 24.575
0.014 25.395 25.444 25.369 25.176 25.034 24.895 25.255 25.154 25.031 24.889 24.749 24.6 25.159 24.986 24.814 24.694 24.583 24.922 24.78 24.66 24.561 24.393 24.371 24.202 24.011
0.0143 25.021 25.071 24.996 24.803 24.661 24.522 24.882 24.781 24.658 24.516 24.376 24.227 24.786 24.613 24.441 24.321 24.21 24.549 24.407 24.287 24.188 24.02 23.998 23.829 23.638
