# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# meta: !!omap
# - comment: [E = 2.247710667230903e-05, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 0.0001,
#     p = 2.15, theta_obs = 0.29670597283903605, xiN = 1.0, z = 0.0, type = grb, E_kiso = 0.05179474679231213]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y ukirt_J ukirt_H ukirt_K
0.01 19.19 19.239 19.165 18.972 18.829 18.69 19.051 18.949 18.827 18.685 18.544 18.396 18.954 18.782 18.61 18.489 18.379 18.718 18.575 18.456 18.357 18.188 18.167 17.997 17.807
0.0102 18.875 18.924 18.849 18.656 18.514 18.375 18.735 18.634 18.511 18.369 18.229 18.08 18.639 18.466 18.294 18.174 18.063 18.402 18.26 18.14 18.041 17.873 17.851 17.682 17.491
0.0105 18.559 18.609 18.534 18.341 18.198 18.059 18.42 18.318 18.196 18.054 17.914 17.765 18.323 18.151 17.979 17.858 17.748 18.087 17.944 17.825 17.726 17.557 17.536 17.366 17.176
0.0107 18.244 18.293 18.218 18.025 17.883 17.744 18.104 18.003 17.88 17.739 17.598 17.449 18.008 17.835 17.663 17.543 17.432 17.772 17.629 17.509 17.41 17.242 17.22 17.051 16.86
0.011 17.928 17.978 17.903 17.71 17.567 17.428 17.789 17.687 17.565 17.423 17.283 17.134 17.692 17.52 17.348 17.227 17.117 17.456 17.313 17.194 17.095 16.926 16.905 16.735 16.545
0.0113 17.613 17.662 17.587 17.394 17.252 17.113 17.474 17.372 17.249 17.108 16.967 16.819 17.377 17.204 17.032 16.912 16.801 17.141 16.998 16.878 16.779 16.611 16.589 16.42 16.23
0.0115 17.297 17.347 17.272 17.079 16.936 16.797 17.158 17.056 16.934 16.792 16.652 16.503 17.061 16.889 16.717 16.596 16.486 16.825 16.683 16.563 16.464 16.295 16.274 16.104 15.914
0.0118 16.982 17.031 16.956 16.763 16.621 16.482 16.843 16.741 16.618 16.477 16.336 16.188 16.746 16.573 16.402 16.281 16.17 16.51 16.367 16.247 16.148 15.98 15.958 15.789 15.599
0.0121 16.666 16.716 16.641 16.448 16.305 16.166 16.527 16.425 16.303 16.161 16.021 15.872 16.43 16.258 16.086 15.965 15.855 16.194 16.052 15.932 15.833 15.664 15.643 15.473 15.283
0.0124 16.405 16.454 16.379 16.186 16.044 15.905 16.266 16.164 16.042 15.9 15.759 15.611 16.169 15.996 15.825 15.704 15.593 15.933 15.79 15.67 15.571 15.403 15.381 15.212 15.022
