# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [E = 0.008378552168254812, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 6.309573444801929e-05,
#     p = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 19.306977288832496]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.01 -4.437 -4.387 -4.462 -4.655 -4.797 -4.937 -4.576 -4.677 -4.8 -4.942 -5.082 -5.231 -4.672 -4.845 -5.017 -5.138 -5.248 -4.909 -5.051 -5.171 -5.27 -5.438 -5.015 -4.919 -5.072 -5.46 -5.629 -5.82 -5.105
0.0102 -4.362 -4.313 -4.388 -4.58 -4.723 -4.862 -4.501 -4.603 -4.725 -4.867 -5.008 -5.156 -4.598 -4.77 -4.942 -5.063 -5.174 -4.834 -4.977 -5.097 -5.196 -5.364 -4.94 -4.845 -4.998 -5.386 -5.555 -5.745 -5.03
0.0105 -4.308 -4.259 -4.333 -4.526 -4.669 -4.808 -4.447 -4.549 -4.671 -4.813 -4.954 -5.102 -4.544 -4.716 -4.888 -5.009 -5.12 -4.78 -4.923 -5.043 -5.142 -5.31 -4.886 -4.791 -4.944 -5.332 -5.501 -5.691 -4.976
0.0107 -4.254 -4.205 -4.279 -4.472 -4.615 -4.754 -4.393 -4.495 -4.617 -4.759 -4.9 -5.048 -4.49 -4.662 -4.834 -4.955 -5.066 -4.726 -4.869 -4.988 -5.087 -5.256 -4.832 -4.737 -4.89 -5.277 -5.447 -5.637 -4.922
0.011 -4.2 -4.151 -4.225 -4.418 -4.561 -4.7 -4.339 -4.441 -4.563 -4.705 -4.846 -4.994 -4.436 -4.608 -4.78 -4.901 -5.011 -4.672 -4.815 -4.934 -5.033 -5.202 -4.778 -4.683 -4.835 -5.223 -5.393 -5.583 -4.868
0.0113 -4.146 -4.096 -4.171 -4.364 -4.507 -4.646 -4.285 -4.387 -4.509 -4.651 -4.791 -4.94 -4.382 -4.554 -4.726 -4.847 -4.957 -4.618 -4.761 -4.88 -4.979 -5.148 -4.724 -4.629 -4.781 -5.169 -5.339 -5.529 -4.814
0.0115 -4.092 -4.042 -4.117 -4.31 -4.453 -4.592 -4.231 -4.333 -4.455 -4.597 -4.737 -4.886 -4.328 -4.5 -4.672 -4.793 -4.903 -4.564 -4.707 -4.826 -4.925 -5.094 -4.67 -4.575 -4.727 -5.115 -5.285 -5.475 -4.76
0.0118 -4.038 -3.988 -4.063 -4.256 -4.399 -4.538 -4.177 -4.279 -4.401 -4.543 -4.683 -4.832 -4.274 -4.446 -4.618 -4.739 -4.849 -4.51 -4.652 -4.772 -4.871 -5.04 -4.616 -4.521 -4.673 -5.061 -5.231 -5.421 -4.706
0.0121 -3.984 -3.934 -4.009 -4.202 -4.345 -4.484 -4.123 -4.225 -4.347 -4.489 -4.629 -4.778 -4.22 -4.392 -4.564 -4.685 -4.795 -4.456 -4.598 -4.718 -4.817 -4.986 -4.562 -4.466 -4.619 -5.007 -5.177 -5.367 -4.652
0.0124 -3.93 -3.88 -3.955 -4.148 -4.291 -4.43 -4.069 -4.171 -4.293 -4.435 -4.575 -4.724 -4.165 -4.338 -4.51 -4.631 -4.741 -4.402 -4.544 -4.664 -4.763 -4.931 -4.508 -4.412 -4.565 -4.953 -5.123 -5.313 -4.598
0.0127 -3.876 -3.826 -3.901 -4.094 -4.236 -4.376 -4.015 -4.116 -4.239 -4.381 -4.521 -4.67 -4.111 -4.284 -4.456 -4.577 -4.687 -4.348 -4.49 -4.61 -4.709 -4.877 -4.454 -4.358 -4.511 -4.899 -5.068 -5.259 -4.544
0.013 -3.829 -3.78 -3.855 -4.048 -4.19 -4.329 -3.968 -4.07 -4.192 -4.334 -4.475 -4.623 -4.065 -4.237 -4.409 -4.53 -4.641 -4.301 -4.444 -4.564 -4.663 -4.831 -4.407 -4.312 -4.465 -4.853 -5.022 -5.212 -4.497
0.0133 -3.788 -3.738 -3.813 -4.006 -4.149 -4.288 -3.927 -4.029 -4.151 -4.293 -4.433 -4.582 -4.024 -4.196 -4.368 -4.489 -4.599 -4.26 -4.402 -4.522 -4.621 -4.79 -4.366 -4.27 -4.423 -4.811 -4.981 -5.171 -4.456
0.0136 -3.746 -3.697 -3.772 -3.965 -4.107 -4.246 -3.886 -3.987 -4.11 -4.251 -4.392 -4.541 -3.982 -4.155 -4.327 -4.447 -4.558 -4.218 -4.361 -4.481 -4.58 -4.748 -4.324 -4.229 -4.382 -4.77 -4.939 -5.13 -4.415
0.014 -3.705 -3.656 -3.73 -3.923 -4.066 -4.205 -3.844 -3.946 -4.068 -4.21 -4.351 -4.499 -3.941 -4.113 -4.285 -4.406 -4.517 -4.177 -4.32 -4.439 -4.539 -4.707 -4.283 -4.188 -4.341 -4.728 -4.898 -5.088 -4.373
0.0143 -3.664 -3.614 -3.689 -3.882 -4.024 -4.164 -3.803 -3.904 -4.027 -4.169 -4.309 -4.458 -3.899 -4.072 -4.244 -4.364 -4.475 -4.136 -4.278 -4.398 -4.497 -4.665 -4.242 -4.146 -4.299 -4.687 -4.856 -5.047 -4.332
0.0146 -3.622 -3.573 -3.648 -3.841 -3.983 -4.122 -3.761 -3.863 -3.985 -4.127 -4.268 -4.416 -3.858 -4.031 -4.202 -4.323 -4.434 -4.094 -4.237 -4.357 -4.456 -4.624 -4.2 -4.105 -4.258 -4.646 -4.815 -5.005 -4.29
0.015 -3.581 -3.531 -3.606 -3.799 -3.942 -4.081 -3.72 -3.822 -3.944 -4.086 -4.226 -4.375 -3.817 -3.989 -4.161 -4.282 -4.392 -4.053 -4.196 -4.315 -4.414 -4.583 -4.159 -4.064 -4.216 -4.604 -4.774 -4.964 -4.249
0.0154 -3.54 -3.49 -3.565 -3.758 -3.9 -4.039 -3.679 -3.78 -3.903 -4.045 -4.185 -4.334 -3.775 -3.948 -4.12 -4.24 -4.351 -4.012 -4.154 -4.274 -4.373 -4.541 -4.117 -4.022 -4.175 -4.563 -4.732 -4.923 -4.208
0.0157 -3.498 -3.449 -3.524 -3.716 -3.859 -3.998 -3.637 -3.739 -3.861 -4.003 -4.144 -4.292 -3.734 -3.906 -4.078 -4.199 -4.31 -3.97 -4.113 -4.233 -4.332 -4.5 -4.076 -3.981 -4.134 -4.522 -4.691 -4.881 -4.166
0.0161 -3.457 -3.407 -3.482 -3.675 -3.818 -3.957 -3.596 -3.697 -3.82 -3.962 -4.102 -4.251 -3.692 -3.865 -4.037 -4.158 -4.268 -3.929 -4.071 -4.191 -4.29 -4.458 -4.035 -3.939 -4.092 -4.48 -4.649 -4.84 -4.125
0.0165 -3.437 -3.387 -3.462 -3.655 -3.797 -3.937 -3.576 -3.677 -3.8 -3.942 -4.082 -4.231 -3.672 -3.845 -4.017 -4.138 -4.248 -3.909 -4.051 -4.171 -4.27 -4.438 -4.015 -3.919 -4.072 -4.46 -4.629 -4.82 -4.105
0.0169 -3.418 -3.369 -3.444 -3.637 -3.779 -3.918 -3.557 -3.659 -3.781 -3.923 -4.064 -4.212 -3.654 -3.827 -3.998 -4.119 -4.23 -3.89 -4.033 -4.153 -4.252 -4.42 -3.996 -3.901 -4.054 -4.442 -4.611 -4.801 -4.086
0.0173 -3.4 -3.35 -3.425 -3.618 -3.76 -3.9 -3.539 -3.64 -3.763 -3.905 -4.045 -4.194 -3.635 -3.808 -3.98 -4.101 -4.211 -3.872 -4.014 -4.134 -4.233 -4.401 -3.978 -3.882 -4.035 -4.423 -4.592 -4.783 -4.068
0.0177 -3.381 -3.332 -3.407 -3.6 -3.742 -3.881 -3.52 -3.622 -3.744 -3.886 -4.027 -4.175 -3.617 -3.789 -3.961 -4.082 -4.193 -3.853 -3.996 -4.116 -4.215 -4.383 -3.959 -3.864 -4.017 -4.405 -4.574 -4.764 -4.049
0.0181 -3.363 -3.313 -3.388 -3.581 -3.723 -3.863 -3.502 -3.603 -3.726 -3.868 -4.008 -4.157 -3.598 -3.771 -3.943 -4.064 -4.174 -3.835 -3.977 -4.097 -4.196 -4.364 -3.941 -3.845 -3.998 -4.386 -4.555 -4.746 -4.031
