# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# meta: !!omap
# - comment: [E = 0.08378552168254812, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 1.0, p
#       = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 193.06977288832496]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y ukirt_J ukirt_H ukirt_K
0.01 -14.364 -14.315 -14.39 -14.582 -14.725 -14.864 -14.503 -14.605 -14.727 -14.869 -15.01 -15.158 -14.6 -14.772 -14.944 -15.065 -15.176 -14.836 -14.979 -15.099 -15.198 -15.366 -15.388 -15.557 -15.747
0.0102 -14.352 -14.303 -14.377 -14.57 -14.713 -14.852 -14.491 -14.593 -14.715 -14.857 -14.998 -15.146 -14.588 -14.76 -14.932 -15.053 -15.164 -14.824 -14.967 -15.086 -15.185 -15.354 -15.375 -15.545 -15.735
0.0105 -14.34 -14.291 -14.365 -14.558 -14.701 -14.84 -14.479 -14.581 -14.703 -14.845 -14.985 -15.134 -14.576 -14.748 -14.92 -15.041 -15.151 -14.812 -14.955 -15.074 -15.173 -15.342 -15.363 -15.533 -15.723
0.0107 -14.328 -14.278 -14.353 -14.546 -14.689 -14.828 -14.467 -14.569 -14.691 -14.833 -14.973 -15.122 -14.564 -14.736 -14.908 -15.029 -15.139 -14.8 -14.942 -15.062 -15.161 -15.33 -15.351 -15.521 -15.711
0.011 -14.316 -14.266 -14.341 -14.534 -14.677 -14.816 -14.455 -14.557 -14.679 -14.821 -14.961 -15.11 -14.552 -14.724 -14.896 -15.017 -15.127 -14.788 -14.93 -15.05 -15.149 -15.318 -15.339 -15.509 -15.699
0.0113 -14.306 -14.257 -14.332 -14.525 -14.667 -14.806 -14.445 -14.547 -14.669 -14.811 -14.952 -15.1 -14.542 -14.714 -14.886 -15.007 -15.118 -14.778 -14.921 -15.041 -15.14 -15.308 -15.33 -15.499 -15.689
0.0115 -14.304 -14.255 -14.329 -14.522 -14.665 -14.804 -14.443 -14.545 -14.667 -14.809 -14.949 -15.098 -14.54 -14.712 -14.884 -15.005 -15.115 -14.776 -14.919 -15.038 -15.137 -15.306 -15.327 -15.497 -15.687
0.0118 -14.302 -14.252 -14.327 -14.52 -14.663 -14.802 -14.441 -14.543 -14.665 -14.807 -14.947 -15.096 -14.537 -14.71 -14.882 -15.003 -15.113 -14.774 -14.916 -15.036 -15.135 -15.304 -15.325 -15.495 -15.685
0.0121 -14.3 -14.25 -14.325 -14.518 -14.66 -14.799 -14.439 -14.54 -14.663 -14.805 -14.945 -15.094 -14.535 -14.708 -14.88 -15.0 -15.111 -14.772 -14.914 -15.034 -15.133 -15.301 -15.323 -15.492 -15.683
0.0124 -14.297 -14.248 -14.323 -14.516 -14.658 -14.797 -14.436 -14.538 -14.661 -14.802 -14.943 -15.091 -14.533 -14.706 -14.878 -14.998 -15.109 -14.769 -14.912 -15.032 -15.131 -15.299 -15.321 -15.49 -15.681
0.0127 -14.295 -14.246 -14.321 -14.514 -14.656 -14.795 -14.434 -14.536 -14.658 -14.8 -14.941 -15.089 -14.531 -14.703 -14.875 -14.996 -15.107 -14.767 -14.91 -15.03 -15.129 -15.297 -15.319 -15.488 -15.678
0.013 -14.293 -14.244 -14.318 -14.511 -14.654 -14.793 -14.432 -14.534 -14.656 -14.798 -14.939 -15.087 -14.529 -14.701 -14.873 -14.994 -15.104 -14.765 -14.908 -15.027 -15.126 -15.295 -15.316 -15.486 -15.676
0.0133 -14.291 -14.241 -14.316 -14.509 -14.652 -14.791 -14.43 -14.532 -14.654 -14.796 -14.936 -15.085 -14.527 -14.699 -14.871 -14.992 -15.102 -14.763 -14.905 -15.025 -15.124 -15.293 -15.314 -15.484 -15.674
0.0136 -14.289 -14.239 -14.314 -14.507 -14.649 -14.789 -14.428 -14.529 -14.652 -14.794 -14.934 -15.083 -14.524 -14.697 -14.869 -14.989 -15.1 -14.761 -14.903 -15.023 -15.122 -15.29 -15.312 -15.481 -15.672
