# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# meta: !!omap
# - comment: [E = 1.164196048716035e-05, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 6.309573444801929e-05,
#     p = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 0.02682695795279726]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y ukirt_J ukirt_H ukirt_K
0.01 3.442 3.491 3.417 3.224 3.081 2.942 3.303 3.201 3.079 2.937 2.796 2.648 3.206 3.034 2.862 2.741 2.631 2.97 2.827 2.708 2.609 2.44 2.419 2.249 2.059
0.0102 3.449 3.499 3.424 3.231 3.089 2.95 3.31 3.209 3.086 2.944 2.804 2.655 3.214 3.041 2.869 2.749 2.638 2.977 2.835 2.715 2.616 2.448 2.426 2.257 2.066
0.0105 3.457 3.506 3.431 3.238 3.096 2.957 3.318 3.216 3.094 2.952 2.811 2.663 3.221 3.049 2.877 2.756 2.645 2.985 2.842 2.722 2.623 2.455 2.433 2.264 2.074
0.0107 3.464 3.514 3.439 3.246 3.103 2.964 3.325 3.223 3.101 2.959 2.819 2.67 3.228 3.056 2.884 2.763 2.653 2.992 2.85 2.73 2.631 2.462 2.441 2.271 2.081
0.011 3.472 3.521 3.446 3.253 3.111 2.972 3.333 3.231 3.108 2.967 2.826 2.677 3.236 3.063 2.891 2.771 2.66 3.0 2.857 2.737 2.638 2.47 2.448 2.279 2.088
0.0113 3.479 3.528 3.454 3.261 3.118 2.979 3.34 3.238 3.116 2.974 2.833 2.685 3.243 3.071 2.899 2.778 2.667 3.007 2.864 2.745 2.646 2.477 2.456 2.286 2.096
0.0115 3.487 3.536 3.461 3.268 3.126 2.987 3.348 3.246 3.123 2.982 2.841 2.693 3.251 3.078 2.907 2.786 2.675 3.015 2.872 2.752 2.653 2.485 2.463 2.294 2.104
0.0118 3.499 3.548 3.473 3.28 3.138 2.999 3.36 3.258 3.136 2.994 2.853 2.705 3.263 3.09 2.919 2.798 2.687 3.027 2.884 2.764 2.665 2.497 2.475 2.306 2.116
0.0121 3.511 3.56 3.485 3.292 3.15 3.011 3.372 3.27 3.148 3.006 2.865 2.717 3.275 3.103 2.931 2.81 2.699 3.039 2.896 2.776 2.677 2.509 2.487 2.318 2.128
0.0124 3.523 3.572 3.497 3.305 3.162 3.023 3.384 3.282 3.16 3.018 2.877 2.729 3.287 3.115 2.943 2.822 2.711 3.051 2.908 2.788 2.689 2.521 2.499 2.33 2.14
