# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [E = 6.029923955985727e-05, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 3.9810717055349695e-05,
#     p = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 0.13894954943731375]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.01 2.219 2.268 2.194 2.001 1.858 1.719 2.08 1.978 1.856 1.714 1.573 1.425 1.983 1.811 1.639 1.518 1.407 1.747 1.604 1.484 1.385 1.217 1.641 1.736 1.583 1.195 1.026 0.836 1.551
0.0102 2.206 2.256 2.181 1.988 1.845 1.706 2.067 1.966 1.843 1.701 1.561 1.412 1.971 1.798 1.626 1.505 1.395 1.734 1.592 1.472 1.373 1.205 1.628 1.724 1.571 1.183 1.013 0.823 1.538
0.0105 2.194 2.243 2.168 1.975 1.833 1.694 2.055 1.953 1.83 1.689 1.548 1.399 1.958 1.785 1.613 1.493 1.382 1.722 1.579 1.459 1.36 1.192 1.616 1.711 1.558 1.17 1.001 0.81 1.525
0.0107 2.181 2.23 2.156 1.963 1.82 1.681 2.042 1.94 1.818 1.676 1.535 1.387 1.945 1.773 1.601 1.48 1.369 1.709 1.566 1.446 1.347 1.179 1.603 1.698 1.545 1.157 0.988 0.798 1.513
0.011 2.168 2.218 2.143 1.95 1.807 1.668 2.029 1.928 1.805 1.663 1.523 1.374 1.933 1.76 1.588 1.467 1.357 1.696 1.554 1.434 1.335 1.167 1.59 1.686 1.533 1.145 0.975 0.785 1.5
0.0113 2.156 2.205 2.13 1.937 1.795 1.656 2.017 1.915 1.792 1.651 1.51 1.361 1.92 1.747 1.575 1.455 1.344 1.684 1.541 1.421 1.322 1.154 1.578 1.673 1.52 1.132 0.963 0.772 1.487
0.0115 2.144 2.193 2.118 1.925 1.783 1.644 2.005 1.903 1.781 1.639 1.498 1.35 1.908 1.735 1.564 1.443 1.332 1.672 1.529 1.409 1.31 1.142 1.566 1.661 1.508 1.12 0.951 0.761 1.476
0.0118 2.135 2.185 2.11 1.917 1.775 1.635 1.996 1.895 1.772 1.63 1.49 1.341 1.9 1.727 1.555 1.434 1.324 1.663 1.521 1.401 1.302 1.134 1.557 1.653 1.5 1.112 0.943 0.752 1.467
0.0121 2.127 2.176 2.101 1.908 1.766 1.627 1.988 1.886 1.764 1.622 1.481 1.333 1.891 1.719 1.547 1.426 1.315 1.655 1.512 1.392 1.293 1.125 1.549 1.644 1.491 1.103 0.934 0.744 1.459
0.0124 2.118 2.168 2.093 1.9 1.758 1.618 1.979 1.878 1.755 1.613 1.473 1.324 1.883 1.71 1.538 1.418 1.307 1.646 1.504 1.384 1.285 1.117 1.54 1.636 1.483 1.095 0.926 0.735 1.45
