# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [E = 6.029923955985726e-06, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 0.01,
#     p = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 0.013894954943731374]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.01 -0.187 -0.138 -0.213 -0.405 -0.548 -0.687 -0.326 -0.428 -0.55 -0.692 -0.833 -0.981 -0.423 -0.595 -0.767 -0.888 -0.999 -0.659 -0.802 -0.922 -1.021 -1.189 -0.765 -0.67 -0.823 -1.211 -1.38 -1.57 -0.855
0.0102 -0.184 -0.134 -0.209 -0.402 -0.545 -0.684 -0.323 -0.424 -0.547 -0.689 -0.829 -0.978 -0.419 -0.592 -0.764 -0.885 -0.995 -0.656 -0.798 -0.918 -1.017 -1.185 -0.762 -0.666 -0.819 -1.207 -1.377 -1.567 -0.852
0.0105 -0.18 -0.131 -0.206 -0.399 -0.541 -0.68 -0.319 -0.421 -0.544 -0.685 -0.826 -0.974 -0.416 -0.589 -0.76 -0.881 -0.992 -0.652 -0.795 -0.915 -1.014 -1.182 -0.758 -0.663 -0.816 -1.204 -1.373 -1.563 -0.848
0.0107 -0.177 -0.128 -0.202 -0.395 -0.538 -0.677 -0.316 -0.418 -0.54 -0.682 -0.822 -0.971 -0.413 -0.585 -0.757 -0.878 -0.988 -0.649 -0.792 -0.911 -1.01 -1.179 -0.755 -0.66 -0.812 -1.2 -1.37 -1.56 -0.845
0.011 -0.174 -0.124 -0.199 -0.392 -0.534 -0.673 -0.313 -0.414 -0.537 -0.679 -0.819 -0.968 -0.409 -0.582 -0.754 -0.874 -0.985 -0.646 -0.788 -0.908 -1.007 -1.175 -0.751 -0.656 -0.809 -1.197 -1.366 -1.557 -0.842
0.0113 -0.171 -0.122 -0.196 -0.389 -0.532 -0.671 -0.31 -0.412 -0.534 -0.676 -0.817 -0.965 -0.407 -0.579 -0.751 -0.872 -0.983 -0.643 -0.786 -0.906 -1.005 -1.173 -0.749 -0.654 -0.807 -1.195 -1.364 -1.554 -0.839
0.0115 -0.171 -0.122 -0.197 -0.39 -0.532 -0.671 -0.31 -0.412 -0.535 -0.676 -0.817 -0.965 -0.407 -0.58 -0.752 -0.872 -0.983 -0.643 -0.786 -0.906 -1.005 -1.173 -0.749 -0.654 -0.807 -1.195 -1.364 -1.554 -0.839
0.0118 -0.172 -0.122 -0.197 -0.39 -0.532 -0.672 -0.311 -0.412 -0.535 -0.677 -0.817 -0.966 -0.407 -0.58 -0.752 -0.872 -0.983 -0.644 -0.786 -0.906 -1.005 -1.173 -0.75 -0.654 -0.807 -1.195 -1.364 -1.555 -0.84
0.0121 -0.172 -0.122 -0.197 -0.39 -0.533 -0.672 -0.311 -0.413 -0.535 -0.677 -0.817 -0.966 -0.408 -0.58 -0.752 -0.873 -0.983 -0.644 -0.787 -0.906 -1.005 -1.174 -0.75 -0.655 -0.807 -1.195 -1.365 -1.555 -0.84
0.0124 -0.172 -0.123 -0.198 -0.391 -0.533 -0.672 -0.311 -0.413 -0.535 -0.677 -0.818 -0.966 -0.408 -0.581 -0.752 -0.873 -0.984 -0.644 -0.787 -0.907 -1.006 -1.174 -0.75 -0.655 -0.808 -1.196 -1.365 -1.555 -0.84
