# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [E = 0.16176451642579392, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 1.0, p
#       = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 372.7593720314938]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.01 -15.17 -15.121 -15.196 -15.389 -15.531 -15.67 -15.309 -15.411 -15.533 -15.675 -15.816 -15.964 -15.406 -15.579 -15.75 -15.871 -15.982 -15.642 -15.785 -15.905 -16.004 -16.172 -15.748 -15.653 -15.806 -16.194 -16.363 -16.553 -15.838
0.0102 -15.163 -15.113 -15.188 -15.381 -15.524 -15.663 -15.302 -15.404 -15.526 -15.668 -15.808 -15.957 -15.399 -15.571 -15.743 -15.864 -15.974 -15.635 -15.777 -15.897 -15.996 -16.165 -15.741 -15.646 -15.798 -16.186 -16.356 -16.546 -15.831
0.0105 -15.155 -15.106 -15.181 -15.374 -15.516 -15.655 -15.295 -15.396 -15.519 -15.661 -15.801 -15.95 -15.391 -15.564 -15.736 -15.856 -15.967 -15.628 -15.77 -15.89 -15.989 -16.157 -15.733 -15.638 -15.791 -16.179 -16.348 -16.539 -15.824
0.0107 -15.148 -15.099 -15.173 -15.366 -15.509 -15.648 -15.287 -15.389 -15.511 -15.653 -15.794 -15.942 -15.384 -15.556 -15.728 -15.849 -15.96 -15.62 -15.763 -15.883 -15.982 -16.15 -15.726 -15.631 -15.784 -16.172 -16.341 -16.531 -15.816
0.011 -15.141 -15.091 -15.166 -15.359 -15.501 -15.641 -15.28 -15.381 -15.504 -15.646 -15.786 -15.935 -15.376 -15.549 -15.721 -15.842 -15.952 -15.613 -15.755 -15.875 -15.974 -16.142 -15.719 -15.623 -15.776 -16.164 -16.333 -16.524 -15.809
0.0113 -15.129 -15.08 -15.154 -15.347 -15.49 -15.629 -15.268 -15.37 -15.492 -15.634 -15.775 -15.923 -15.365 -15.537 -15.709 -15.83 -15.941 -15.601 -15.744 -15.864 -15.963 -16.131 -15.707 -15.612 -15.765 -16.153 -16.322 -16.512 -15.797
0.0115 -15.117 -15.068 -15.142 -15.335 -15.478 -15.617 -15.256 -15.358 -15.48 -15.622 -15.763 -15.911 -15.353 -15.525 -15.697 -15.818 -15.928 -15.589 -15.732 -15.851 -15.95 -16.119 -15.695 -15.6 -15.752 -16.14 -16.31 -16.5 -15.785
0.0118 -15.105 -15.055 -15.13 -15.323 -15.466 -15.605 -15.244 -15.346 -15.468 -15.61 -15.75 -15.899 -15.341 -15.513 -15.685 -15.806 -15.916 -15.577 -15.72 -15.839 -15.938 -16.107 -15.683 -15.588 -15.74 -16.128 -16.298 -16.488 -15.773
0.0121 -15.093 -15.043 -15.118 -15.311 -15.454 -15.593 -15.232 -15.334 -15.456 -15.598 -15.738 -15.887 -15.329 -15.501 -15.673 -15.794 -15.904 -15.565 -15.707 -15.827 -15.926 -16.095 -15.671 -15.576 -15.728 -16.116 -16.286 -16.476 -15.761
0.0124 -15.081 -15.031 -15.106 -15.299 -15.442 -15.581 -15.22 -15.322 -15.444 -15.586 -15.726 -15.875 -15.317 -15.489 -15.661 -15.782 -15.892 -15.553 -15.695 -15.815 -15.914 -16.083 -15.659 -15.563 -15.716 -16.104 -16.274 -16.464 -15.749
