# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# meta: !!omap
# - comment: [E = 8.378552168254813e-06, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 1e-06,
#     p = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 0.019306977288832496]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y ukirt_J ukirt_H ukirt_K
0.01 7.766 7.815 7.741 7.548 7.405 7.266 7.627 7.525 7.403 7.261 7.12 6.972 7.53 7.358 7.186 7.065 6.955 7.294 7.151 7.032 6.933 6.764 6.743 6.573 6.383
0.0102 7.764 7.813 7.738 7.545 7.403 7.264 7.625 7.523 7.4 7.259 7.118 6.97 7.528 7.355 7.184 7.063 6.952 7.292 7.149 7.029 6.93 6.762 6.74 6.571 6.381
0.0105 7.755 7.805 7.73 7.537 7.394 7.255 7.616 7.514 7.392 7.25 7.11 6.961 7.52 7.347 7.175 7.054 6.944 7.283 7.141 7.021 6.922 6.753 6.732 6.562 6.372
0.0107 7.747 7.796 7.721 7.528 7.386 7.247 7.608 7.506 7.384 7.242 7.101 6.953 7.511 7.338 7.167 7.046 6.935 7.275 7.132 7.012 6.913 6.745 6.723 6.554 6.364
0.011 7.738 7.788 7.713 7.52 7.378 7.238 7.599 7.498 7.375 7.233 7.093 6.944 7.503 7.33 7.158 7.038 6.927 7.266 7.124 7.004 6.905 6.737 6.715 6.546 6.355
0.0113 7.73 7.779 7.705 7.512 7.369 7.23 7.591 7.489 7.367 7.225 7.084 6.936 7.494 7.322 7.15 7.029 6.918 7.258 7.115 6.995 6.896 6.728 6.706 6.537 6.347
0.0115 7.721 7.771 7.696 7.503 7.361 7.222 7.582 7.481 7.358 7.216 7.076 6.927 7.486 7.313 7.141 7.021 6.91 7.249 7.107 6.987 6.888 6.72 6.698 6.529 6.338
0.0118 7.713 7.762 7.688 7.495 7.352 7.213 7.574 7.472 7.35 7.208 7.068 6.919 7.477 7.305 7.133 7.012 6.902 7.241 7.098 6.979 6.88 6.711 6.69 6.52 6.33
0.0121 7.705 7.754 7.679 7.486 7.344 7.205 7.566 7.464 7.341 7.2 7.059 6.911 7.469 7.296 7.124 7.004 6.893 7.233 7.09 6.97 6.871 6.703 6.681 6.512 6.322
0.0124 7.696 7.746 7.671 7.478 7.335 7.196 7.557 7.455 7.333 7.191 7.051 6.902 7.46 7.288 7.116 6.995 6.885 7.224 7.082 6.962 6.863 6.694 6.673 6.503 6.313
