# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [E = 0.06029923955985733, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 10.0,
#     p = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 138.9495494373139]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.01 -16.269 -16.22 -16.295 -16.488 -16.63 -16.769 -16.408 -16.51 -16.632 -16.774 -16.915 -17.063 -16.505 -16.678 -16.849 -16.97 -17.081 -16.741 -16.884 -17.004 -17.103 -17.271 -16.847 -16.752 -16.905 -17.293 -17.462 -17.652 -16.937
0.0102 -16.27 -16.221 -16.295 -16.488 -16.631 -16.77 -16.409 -16.511 -16.633 -16.775 -16.916 -17.064 -16.506 -16.678 -16.85 -16.971 -17.081 -16.742 -16.885 -17.004 -17.103 -17.272 -16.848 -16.753 -16.905 -17.293 -17.463 -17.653 -16.938
0.0105 -16.271 -16.221 -16.296 -16.489 -16.631 -16.771 -16.41 -16.511 -16.634 -16.776 -16.916 -17.065 -16.506 -16.679 -16.851 -16.972 -17.082 -16.743 -16.885 -17.005 -17.104 -17.272 -16.849 -16.753 -16.906 -17.294 -17.463 -17.654 -16.939
0.0107 -16.271 -16.222 -16.297 -16.49 -16.632 -16.771 -16.41 -16.512 -16.635 -16.776 -16.917 -17.065 -16.507 -16.68 -16.852 -16.972 -17.083 -16.743 -16.886 -17.006 -17.105 -17.273 -16.849 -16.754 -16.907 -17.295 -17.464 -17.654 -16.939
0.011 -16.272 -16.223 -16.297 -16.49 -16.633 -16.772 -16.411 -16.513 -16.635 -16.777 -16.918 -17.066 -16.508 -16.68 -16.852 -16.973 -17.084 -16.744 -16.887 -17.007 -17.106 -17.274 -16.85 -16.755 -16.908 -17.296 -17.465 -17.655 -16.94
0.0113 -16.273 -16.223 -16.298 -16.491 -16.634 -16.773 -16.412 -16.514 -16.636 -16.778 -16.918 -17.067 -16.508 -16.681 -16.853 -16.974 -17.084 -16.745 -16.887 -17.007 -17.106 -17.274 -16.851 -16.755 -16.908 -17.296 -17.466 -17.656 -16.941
0.0115 -16.273 -16.224 -16.299 -16.492 -16.634 -16.773 -16.413 -16.514 -16.637 -16.778 -16.919 -17.068 -16.509 -16.682 -16.854 -16.974 -17.085 -16.746 -16.888 -17.008 -17.107 -17.275 -16.851 -16.756 -16.909 -17.297 -17.466 -17.657 -16.942
0.0118 -16.274 -16.225 -16.3 -16.493 -16.635 -16.774 -16.413 -16.515 -16.637 -16.779 -16.92 -17.068 -16.51 -16.682 -16.854 -16.975 -17.086 -16.746 -16.889 -17.009 -17.108 -17.276 -16.852 -16.757 -16.91 -17.298 -17.467 -17.657 -16.942
0.0121 -16.273 -16.224 -16.298 -16.491 -16.634 -16.773 -16.412 -16.514 -16.636 -16.778 -16.919 -17.067 -16.509 -16.681 -16.853 -16.974 -17.085 -16.745 -16.888 -17.007 -17.106 -17.275 -16.851 -16.756 -16.909 -17.296 -17.466 -17.656 -16.941
0.0124 -16.271 -16.221 -16.296 -16.489 -16.632 -16.771 -16.41 -16.512 -16.634 -16.776 -16.916 -17.065 -16.506 -16.679 -16.851 -16.972 -17.082 -16.743 -16.885 -17.005 -17.104 -17.273 -16.849 -16.753 -16.906 -17.294 -17.464 -17.654 -16.939
0.0127 -16.269 -16.219 -16.294 -16.487 -16.629 -16.768 -16.408 -16.509 -16.632 -16.774 -16.914 -17.063 -16.504 -16.677 -16.849 -16.969 -17.08 -16.741 -16.883 -17.003 -17.102 -17.27 -16.846 -16.751 -16.904 -17.292 -17.461 -17.652 -16.937
0.013 -16.266 -16.217 -16.292 -16.485 -16.627 -16.766 -16.405 -16.507 -16.629 -16.771 -16.912 -17.06 -16.502 -16.675 -16.846 -16.967 -17.078 -16.738 -16.881 -17.001 -17.1 -17.268 -16.844 -16.749 -16.902 -17.29 -17.459 -17.649 -16.934
0.0133 -16.264 -16.215 -16.289 -16.482 -16.625 -16.764 -16.403 -16.505 -16.627 -16.769 -16.91 -17.058 -16.5 -16.672 -16.844 -16.965 -17.076 -16.736 -16.879 -16.999 -17.098 -17.266 -16.842 -16.747 -16.9 -17.287 -17.457 -17.647 -16.932
0.0136 -16.262 -16.212 -16.287 -16.48 -16.623 -16.762 -16.401 -16.503 -16.625 -16.767 -16.907 -17.056 -16.498 -16.67 -16.842 -16.963 -17.073 -16.734 -16.876 -16.996 -17.095 -17.264 -16.84 -16.745 -16.897 -17.285 -17.455 -17.645 -16.93
0.014 -16.26 -16.21 -16.285 -16.478 -16.62 -16.759 -16.399 -16.5 -16.623 -16.765 -16.905 -17.054 -16.495 -16.668 -16.84 -16.96 -17.071 -16.732 -16.874 -16.994 -17.093 -17.261 -16.837 -16.742 -16.895 -17.283 -17.452 -17.643 -16.928
0.0143 -16.257 -16.208 -16.283 -16.476 -16.618 -16.757 -16.396 -16.498 -16.621 -16.762 -16.903 -17.051 -16.493 -16.666 -16.837 -16.958 -17.069 -16.729 -16.872 -16.992 -17.091 -17.259 -16.835 -16.74 -16.893 -17.281 -17.45 -17.64 -16.925
0.0146 -16.255 -16.206 -16.28 -16.473 -16.616 -16.755 -16.394 -16.496 -16.618 -16.76 -16.901 -17.049 -16.491 -16.663 -16.835 -16.956 -17.067 -16.727 -16.87 -16.99 -17.089 -17.257 -16.833 -16.738 -16.891 -17.279 -17.448 -17.638 -16.923
0.015 -16.253 -16.203 -16.278 -16.471 -16.614 -16.753 -16.392 -16.494 -16.616 -16.758 -16.898 -17.047 -16.489 -16.661 -16.833 -16.954 -17.064 -16.725 -16.867 -16.987 -17.086 -17.255 -16.831 -16.736 -16.888 -17.276 -17.446 -17.636 -16.921
