# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [E = 4.339649880409358e-06, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 1e-05,
#     p = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 0.01]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.01 6.093 6.142 6.067 5.874 5.732 5.593 5.954 5.852 5.73 5.588 5.447 5.299 5.857 5.684 5.513 5.392 5.281 5.621 5.478 5.358 5.259 5.091 5.515 5.61 5.457 5.069 4.9 4.71 5.425
0.0102 6.089 6.138 6.063 5.87 5.728 5.589 5.95 5.848 5.725 5.584 5.443 5.295 5.853 5.68 5.509 5.388 5.277 5.617 5.474 5.354 5.255 5.087 5.511 5.606 5.453 5.065 4.896 4.706 5.421
0.0105 6.085 6.134 6.059 5.866 5.724 5.585 5.945 5.844 5.721 5.579 5.439 5.29 5.849 5.676 5.504 5.384 5.273 5.612 5.47 5.35 5.251 5.083 5.507 5.602 5.449 5.061 4.892 4.701 5.416
0.0107 6.08 6.13 6.055 5.862 5.72 5.58 5.941 5.84 5.717 5.575 5.435 5.286 5.845 5.672 5.5 5.38 5.269 5.608 5.466 5.346 5.247 5.079 5.502 5.598 5.445 5.057 4.888 4.697 5.412
0.011 6.076 6.126 6.051 5.858 5.715 5.576 5.937 5.835 5.713 5.571 5.431 5.282 5.841 5.668 5.496 5.375 5.265 5.604 5.462 5.342 5.243 5.074 5.498 5.594 5.441 5.053 4.883 4.693 5.408
0.0113 6.072 6.122 6.047 5.854 5.711 5.572 5.933 5.831 5.709 5.567 5.427 5.278 5.836 5.664 5.492 5.371 5.261 5.6 5.457 5.338 5.239 5.07 5.494 5.589 5.437 5.049 4.879 4.689 5.404
0.0115 6.068 6.117 6.043 5.85 5.707 5.568 5.929 5.827 5.705 5.563 5.422 5.274 5.832 5.66 5.488 5.367 5.256 5.596 5.453 5.333 5.234 5.066 5.49 5.585 5.432 5.044 4.875 4.685 5.4
0.0118 6.064 6.113 6.038 5.845 5.703 5.564 5.925 5.823 5.701 5.559 5.418 5.27 5.828 5.655 5.484 5.363 5.252 5.592 5.449 5.329 5.23 5.062 5.486 5.581 5.428 5.04 4.871 4.681 5.396
0.0121 6.06 6.109 6.034 5.841 5.699 5.56 5.921 5.819 5.696 5.555 5.414 5.266 5.824 5.651 5.48 5.359 5.248 5.588 5.445 5.325 5.226 5.058 5.482 5.577 5.424 5.036 4.867 4.677 5.392
0.0124 6.067 6.116 6.041 5.848 5.706 5.567 5.927 5.826 5.703 5.562 5.421 5.272 5.831 5.658 5.486 5.366 5.255 5.595 5.452 5.332 5.233 5.065 5.489 5.584 5.431 5.043 4.874 4.683 5.398
