# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# meta: !!omap
# - comment: [E = 6.029923955985727e-05, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 0.003981071705534973,
#     p = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 0.13894954943731375]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y ukirt_J ukirt_H ukirt_K
0.01 -1.859 -1.81 -1.885 -2.078 -2.22 -2.359 -1.998 -2.1 -2.223 -2.364 -2.505 -2.653 -2.095 -2.268 -2.439 -2.56 -2.671 -2.331 -2.474 -2.594 -2.693 -2.861 -2.883 -3.052 -3.242
0.0102 -1.878 -1.829 -1.903 -2.096 -2.239 -2.378 -2.017 -2.119 -2.241 -2.383 -2.524 -2.672 -2.114 -2.286 -2.458 -2.579 -2.689 -2.35 -2.493 -2.612 -2.711 -2.88 -2.901 -3.071 -3.261
0.0105 -1.899 -1.849 -1.924 -2.117 -2.26 -2.399 -2.038 -2.14 -2.262 -2.404 -2.544 -2.693 -2.135 -2.307 -2.479 -2.6 -2.71 -2.371 -2.513 -2.633 -2.732 -2.901 -2.922 -3.092 -3.282
0.0107 -1.92 -1.87 -1.945 -2.138 -2.28 -2.42 -2.059 -2.16 -2.283 -2.425 -2.565 -2.714 -2.155 -2.328 -2.5 -2.62 -2.731 -2.392 -2.534 -2.654 -2.753 -2.921 -2.943 -3.112 -3.303
0.011 -1.94 -1.891 -1.966 -2.159 -2.301 -2.44 -2.08 -2.181 -2.304 -2.445 -2.586 -2.735 -2.176 -2.349 -2.521 -2.641 -2.752 -2.412 -2.555 -2.675 -2.774 -2.942 -2.964 -3.133 -3.324
0.0113 -1.961 -1.912 -1.987 -2.18 -2.322 -2.461 -2.1 -2.202 -2.324 -2.466 -2.607 -2.755 -2.197 -2.37 -2.541 -2.662 -2.773 -2.433 -2.576 -2.696 -2.795 -2.963 -2.985 -3.154 -3.344
0.0115 -1.982 -1.933 -2.007 -2.2 -2.343 -2.482 -2.121 -2.223 -2.345 -2.487 -2.628 -2.776 -2.218 -2.39 -2.562 -2.683 -2.794 -2.454 -2.597 -2.717 -2.816 -2.984 -3.006 -3.175 -3.365
0.0118 -2.003 -1.953 -2.028 -2.221 -2.364 -2.503 -2.142 -2.244 -2.366 -2.508 -2.648 -2.797 -2.239 -2.411 -2.583 -2.704 -2.814 -2.475 -2.618 -2.737 -2.836 -3.005 -3.026 -3.196 -3.386
0.0121 -2.024 -1.974 -2.049 -2.242 -2.385 -2.524 -2.163 -2.264 -2.387 -2.529 -2.669 -2.818 -2.259 -2.432 -2.604 -2.725 -2.835 -2.496 -2.638 -2.758 -2.857 -3.025 -3.047 -3.216 -3.407
0.0124 -2.045 -1.995 -2.07 -2.263 -2.405 -2.544 -2.184 -2.285 -2.408 -2.55 -2.69 -2.839 -2.28 -2.453 -2.625 -2.745 -2.856 -2.517 -2.659 -2.779 -2.878 -3.046 -3.068 -3.237 -3.428
0.0127 -2.065 -2.016 -2.091 -2.284 -2.426 -2.565 -2.204 -2.306 -2.429 -2.57 -2.711 -2.859 -2.301 -2.474 -2.646 -2.766 -2.877 -2.537 -2.68 -2.8 -2.899 -3.067 -3.089 -3.258 -3.448
0.013 -2.074 -2.025 -2.1 -2.293 -2.435 -2.574 -2.213 -2.315 -2.437 -2.579 -2.72 -2.868 -2.31 -2.483 -2.654 -2.775 -2.886 -2.546 -2.689 -2.809 -2.908 -3.076 -3.098 -3.267 -3.457
0.0133 -2.075 -2.025 -2.1 -2.293 -2.436 -2.575 -2.214 -2.316 -2.438 -2.58 -2.72 -2.869 -2.311 -2.483 -2.655 -2.776 -2.886 -2.547 -2.69 -2.809 -2.908 -3.077 -3.098 -3.268 -3.458
0.0136 -2.076 -2.026 -2.101 -2.294 -2.436 -2.576 -2.215 -2.316 -2.439 -2.581 -2.721 -2.87 -2.311 -2.484 -2.656 -2.776 -2.887 -2.548 -2.69 -2.81 -2.909 -3.077 -3.099 -3.268 -3.459
