# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# meta: !!omap
# - comment: [E = 0.022477106672309028, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 10.0,
#     p = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 51.794746792312125]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y ukirt_J ukirt_H ukirt_K
0.01 -15.189 -15.139 -15.214 -15.407 -15.549 -15.688 -15.328 -15.429 -15.552 -15.694 -15.834 -15.983 -15.424 -15.597 -15.769 -15.889 -16.0 -15.661 -15.803 -15.923 -16.022 -16.19 -16.212 -16.381 -16.572
0.0102 -15.186 -15.137 -15.212 -15.405 -15.547 -15.686 -15.325 -15.427 -15.55 -15.691 -15.832 -15.98 -15.422 -15.595 -15.766 -15.887 -15.998 -15.658 -15.801 -15.921 -16.02 -16.188 -16.21 -16.379 -16.569
0.0105 -15.184 -15.135 -15.21 -15.402 -15.545 -15.684 -15.323 -15.425 -15.547 -15.689 -15.83 -15.978 -15.42 -15.592 -15.764 -15.885 -15.996 -15.656 -15.799 -15.919 -16.018 -16.186 -16.208 -16.377 -16.567
0.0107 -15.182 -15.132 -15.207 -15.4 -15.543 -15.682 -15.321 -15.423 -15.545 -15.687 -15.827 -15.976 -15.418 -15.59 -15.762 -15.883 -15.993 -15.654 -15.796 -15.916 -16.015 -16.184 -16.205 -16.375 -16.565
0.011 -15.173 -15.123 -15.198 -15.391 -15.534 -15.673 -15.312 -15.414 -15.536 -15.678 -15.818 -15.967 -15.409 -15.581 -15.753 -15.874 -15.984 -15.645 -15.787 -15.907 -16.006 -16.175 -16.196 -16.366 -16.556
0.0113 -15.158 -15.109 -15.184 -15.377 -15.519 -15.658 -15.298 -15.399 -15.522 -15.664 -15.804 -15.953 -15.394 -15.567 -15.739 -15.859 -15.97 -15.631 -15.773 -15.893 -15.992 -16.16 -16.182 -16.351 -16.542
0.0115 -15.144 -15.095 -15.17 -15.362 -15.505 -15.644 -15.283 -15.385 -15.507 -15.649 -15.79 -15.938 -15.38 -15.552 -15.724 -15.845 -15.956 -15.616 -15.759 -15.879 -15.978 -16.146 -16.168 -16.337 -16.527
0.0118 -15.13 -15.08 -15.155 -15.348 -15.491 -15.63 -15.269 -15.37 -15.493 -15.635 -15.775 -15.924 -15.365 -15.538 -15.71 -15.831 -15.941 -15.602 -15.744 -15.864 -15.963 -16.131 -16.153 -16.323 -16.513
0.0121 -15.115 -15.066 -15.141 -15.334 -15.476 -15.615 -15.254 -15.356 -15.479 -15.62 -15.761 -15.909 -15.351 -15.524 -15.696 -15.816 -15.927 -15.587 -15.73 -15.85 -15.949 -16.117 -16.139 -16.308 -16.498
0.0124 -15.101 -15.052 -15.126 -15.319 -15.462 -15.601 -15.24 -15.342 -15.464 -15.606 -15.747 -15.895 -15.337 -15.509 -15.681 -15.802 -15.912 -15.573 -15.716 -15.835 -15.934 -16.103 -16.124 -16.294 -16.484
0.0127 -15.087 -15.037 -15.112 -15.305 -15.447 -15.587 -15.226 -15.327 -15.45 -15.592 -15.732 -15.881 -15.322 -15.495 -15.667 -15.787 -15.898 -15.559 -15.701 -15.821 -15.92 -16.088 -16.11 -16.279 -16.47
0.013 -15.072 -15.023 -15.098 -15.291 -15.433 -15.572 -15.211 -15.313 -15.435 -15.577 -15.718 -15.866 -15.308 -15.481 -15.652 -15.773 -15.884 -15.544 -15.687 -15.807 -15.906 -16.074 -16.096 -16.265 -16.455
0.0133 -15.058 -15.008 -15.083 -15.276 -15.419 -15.558 -15.197 -15.299 -15.421 -15.563 -15.703 -15.852 -15.294 -15.466 -15.638 -15.759 -15.869 -15.53 -15.673 -15.792 -15.891 -16.06 -16.081 -16.251 -16.441
0.0136 -15.044 -14.994 -15.069 -15.262 -15.404 -15.543 -15.183 -15.284 -15.407 -15.549 -15.689 -15.838 -15.279 -15.452 -15.624 -15.744 -15.855 -15.516 -15.658 -15.778 -15.877 -16.045 -16.067 -16.236 -16.427
0.014 -15.037 -14.987 -15.062 -15.255 -15.398 -15.537 -15.176 -15.278 -15.4 -15.542 -15.682 -15.831 -15.273 -15.445 -15.617 -15.738 -15.848 -15.509 -15.652 -15.771 -15.87 -16.039 -16.06 -16.23 -16.42
0.0143 -15.034 -14.984 -15.059 -15.252 -15.394 -15.533 -15.173 -15.274 -15.397 -15.539 -15.679 -15.828 -15.269 -15.442 -15.614 -15.734 -15.845 -15.506 -15.648 -15.768 -15.867 -16.035 -16.057 -16.226 -16.417
0.0146 -15.03 -14.981 -15.056 -15.248 -15.391 -15.53 -15.169 -15.271 -15.393 -15.535 -15.676 -15.824 -15.266 -15.438 -15.61 -15.731 -15.842 -15.502 -15.645 -15.765 -15.864 -16.032 -16.054 -16.223 -16.413
0.015 -15.027 -14.977 -15.052 -15.245 -15.387 -15.527 -15.166 -15.267 -15.39 -15.532 -15.672 -15.821 -15.262 -15.435 -15.607 -15.728 -15.838 -15.499 -15.641 -15.761 -15.86 -16.028 -16.05 -16.219 -16.41
0.0154 -15.023 -14.974 -15.049 -15.242 -15.384 -15.523 -15.162 -15.264 -15.386 -15.528 -15.669 -15.817 -15.259 -15.432 -15.603 -15.724 -15.835 -15.495 -15.638 -15.758 -15.857 -16.025 -16.047 -16.216 -16.406
0.0157 -15.02 -14.97 -15.045 -15.238 -15.381 -15.52 -15.159 -15.261 -15.383 -15.525 -15.665 -15.814 -15.256 -15.428 -15.6 -15.721 -15.831 -15.492 -15.635 -15.754 -15.853 -16.022 -16.043 -16.213 -16.403
0.0161 -15.017 -14.967 -15.042 -15.235 -15.377 -15.516 -15.156 -15.257 -15.38 -15.522 -15.662 -15.811 -15.252 -15.425 -15.597 -15.717 -15.828 -15.489 -15.631 -15.751 -15.85 -16.018 -16.04 -16.209 -16.4
0.0165 -15.013 -14.964 -15.039 -15.231 -15.374 -15.513 -15.152 -15.254 -15.376 -15.518 -15.659 -15.807 -15.249 -15.421 -15.593 -15.714 -15.825 -15.485 -15.628 -15.748 -15.847 -16.015 -16.037 -16.206 -16.396
0.0169 -15.01 -14.96 -15.035 -15.228 -15.371 -15.51 -15.149 -15.25 -15.373 -15.515 -15.655 -15.804 -15.245 -15.418 -15.59 -15.711 -15.821 -15.482 -15.624 -15.744 -15.843 -16.011 -16.033 -16.203 -16.393
0.0173 -15.006 -14.957 -15.032 -15.225 -15.367 -15.506 -15.145 -15.247 -15.37 -15.511 -15.652 -15.8 -15.242 -15.415 -15.586 -15.707 -15.818 -15.478 -15.621 -15.741 -15.84 -16.008 -16.03 -16.199 -16.389
0.0177 -15.006 -14.957 -15.031 -15.224 -15.367 -15.506 -15.145 -15.247 -15.369 -15.511 -15.652 -15.8 -15.242 -15.414 -15.586 -15.707 -15.818 -15.478 -15.621 -15.741 -15.84 -16.008 -16.03 -16.199 -16.389
