# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# meta: !!omap
# - comment: [E = 0.022477106672309028, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 3.981071705534969e-06,
#     p = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 51.794746792312125]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y ukirt_J ukirt_H ukirt_K
0.01 -7.964 -7.915 -7.99 -8.183 -8.325 -8.464 -8.104 -8.205 -8.328 -8.47 -8.61 -8.759 -8.2 -8.373 -8.545 -8.665 -8.776 -8.437 -8.579 -8.699 -8.798 -8.966 -8.988 -9.157 -9.348
0.0102 -7.872 -7.823 -7.897 -8.09 -8.233 -8.372 -8.011 -8.113 -8.235 -8.377 -8.518 -8.666 -8.108 -8.28 -8.452 -8.573 -8.684 -8.344 -8.487 -8.607 -8.706 -8.874 -8.896 -9.065 -9.255
0.0105 -7.78 -7.73 -7.805 -7.998 -8.14 -8.28 -7.919 -8.02 -8.143 -8.285 -8.425 -8.574 -8.015 -8.188 -8.36 -8.481 -8.591 -8.252 -8.394 -8.514 -8.613 -8.781 -8.803 -8.972 -9.163
0.0107 -7.687 -7.638 -7.713 -7.906 -8.048 -8.187 -7.826 -7.928 -8.051 -8.192 -8.333 -8.481 -7.923 -8.096 -8.267 -8.388 -8.499 -8.159 -8.302 -8.422 -8.521 -8.689 -8.711 -8.88 -9.07
0.011 -7.595 -7.546 -7.62 -7.813 -7.956 -8.095 -7.734 -7.836 -7.958 -8.1 -8.24 -8.389 -7.831 -8.003 -8.175 -8.296 -8.406 -8.067 -8.21 -8.329 -8.428 -8.597 -8.618 -8.788 -8.978
0.0113 -7.503 -7.453 -7.528 -7.721 -7.863 -8.002 -7.642 -7.743 -7.866 -8.008 -8.148 -8.297 -7.738 -7.911 -8.083 -8.203 -8.314 -7.975 -8.117 -8.237 -8.336 -8.504 -8.526 -8.695 -8.886
0.0115 -7.41 -7.361 -7.436 -7.629 -7.771 -7.91 -7.549 -7.651 -7.773 -7.915 -8.056 -8.204 -7.646 -7.819 -7.99 -8.111 -8.222 -7.882 -8.025 -8.145 -8.244 -8.412 -8.434 -8.603 -8.793
0.0118 -7.318 -7.268 -7.343 -7.536 -7.679 -7.818 -7.457 -7.559 -7.681 -7.823 -7.963 -8.112 -7.554 -7.726 -7.898 -8.019 -8.129 -7.79 -7.932 -8.052 -8.151 -8.32 -8.341 -8.511 -8.701
0.0121 -7.225 -7.176 -7.251 -7.444 -7.586 -7.725 -7.365 -7.466 -7.589 -7.731 -7.871 -8.02 -7.461 -7.634 -7.806 -7.926 -8.037 -7.698 -7.84 -7.96 -8.059 -8.227 -8.249 -8.418 -8.609
0.0124 -7.133 -7.084 -7.159 -7.351 -7.494 -7.633 -7.272 -7.374 -7.496 -7.638 -7.779 -7.927 -7.369 -7.541 -7.713 -7.834 -7.945 -7.605 -7.748 -7.868 -7.967 -8.135 -8.157 -8.326 -8.516
