# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [E = 0.0022477106672309025, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 1e-06,
#     p = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 5.1794746792312125]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.01 -3.093 -3.044 -3.119 -3.312 -3.454 -3.593 -3.233 -3.334 -3.457 -3.599 -3.739 -3.888 -3.329 -3.502 -3.674 -3.794 -3.905 -3.566 -3.708 -3.828 -3.927 -4.095 -3.671 -3.576 -3.729 -4.117 -4.286 -4.477 -3.762
0.0102 -3.001 -2.952 -3.027 -3.219 -3.362 -3.501 -3.14 -3.242 -3.364 -3.506 -3.647 -3.795 -3.237 -3.409 -3.581 -3.702 -3.813 -3.473 -3.616 -3.736 -3.835 -4.003 -3.579 -3.484 -3.637 -4.025 -4.194 -4.384 -3.669
0.0105 -2.909 -2.859 -2.934 -3.127 -3.27 -3.409 -3.048 -3.149 -3.272 -3.414 -3.554 -3.703 -3.144 -3.317 -3.489 -3.61 -3.72 -3.381 -3.523 -3.643 -3.742 -3.91 -3.487 -3.391 -3.544 -3.932 -4.102 -4.292 -3.577
0.0107 -2.816 -2.767 -2.842 -3.035 -3.177 -3.316 -2.955 -3.057 -3.18 -3.321 -3.462 -3.61 -3.052 -3.225 -3.397 -3.517 -3.628 -3.288 -3.431 -3.551 -3.65 -3.818 -3.394 -3.299 -3.452 -3.84 -4.009 -4.199 -3.484
0.011 -2.724 -2.675 -2.749 -2.942 -3.085 -3.224 -2.863 -2.965 -3.087 -3.229 -3.37 -3.518 -2.96 -3.132 -3.304 -3.425 -3.535 -3.196 -3.339 -3.458 -3.557 -3.726 -3.302 -3.207 -3.359 -3.747 -3.917 -4.107 -3.392
0.0113 -2.632 -2.582 -2.657 -2.85 -2.992 -3.132 -2.771 -2.872 -2.995 -3.137 -3.277 -3.426 -2.867 -3.04 -3.212 -3.332 -3.443 -3.104 -3.246 -3.366 -3.465 -3.633 -3.21 -3.114 -3.267 -3.655 -3.824 -4.015 -3.3
0.0115 -2.539 -2.49 -2.565 -2.758 -2.9 -3.039 -2.678 -2.78 -2.902 -3.044 -3.185 -3.333 -2.775 -2.948 -3.119 -3.24 -3.351 -3.011 -3.154 -3.274 -3.373 -3.541 -3.117 -3.022 -3.175 -3.563 -3.732 -3.922 -3.207
0.0118 -2.447 -2.397 -2.472 -2.665 -2.808 -2.947 -2.586 -2.688 -2.81 -2.952 -3.092 -3.241 -2.683 -2.855 -3.027 -3.148 -3.258 -2.919 -3.061 -3.181 -3.28 -3.449 -3.025 -2.93 -3.082 -3.47 -3.64 -3.83 -3.115
0.0121 -2.355 -2.305 -2.38 -2.573 -2.715 -2.854 -2.494 -2.595 -2.718 -2.86 -3.0 -3.149 -2.59 -2.763 -2.935 -3.055 -3.166 -2.827 -2.969 -3.089 -3.188 -3.356 -2.932 -2.837 -2.99 -3.378 -3.547 -3.738 -3.023
0.0124 -2.262 -2.213 -2.288 -2.48 -2.623 -2.762 -2.401 -2.503 -2.625 -2.767 -2.908 -3.056 -2.498 -2.67 -2.842 -2.963 -3.074 -2.734 -2.877 -2.997 -3.096 -3.264 -2.84 -2.745 -2.898 -3.286 -3.455 -3.645 -2.93
0.0127 -2.17 -2.12 -2.195 -2.388 -2.531 -2.67 -2.309 -2.411 -2.533 -2.675 -2.815 -2.964 -2.405 -2.578 -2.75 -2.871 -2.981 -2.642 -2.784 -2.904 -3.003 -3.172 -2.748 -2.652 -2.805 -3.193 -3.363 -3.553 -2.838
