# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# meta: !!omap
# - comment: [E = 0.00011641960487160349, Eta0 = 8.02, GammaB = 12.0, dL = 0.012188, epsb = 6.760829753919819e-06, epse = 0.1, n = 1e-05,
#     p = 2.15, theta_obs = 0.0, xiN = 1.0, z = 0.0, type = grb, E_kiso = 0.2682695795279726]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y ukirt_J ukirt_H ukirt_K
0.01 2.941 2.991 2.916 2.723 2.581 2.442 2.802 2.701 2.578 2.436 2.296 2.147 2.706 2.533 2.361 2.241 2.13 2.469 2.327 2.207 2.108 1.94 1.918 1.749 1.558
0.0102 2.941 2.991 2.916 2.723 2.58 2.441 2.802 2.7 2.578 2.436 2.296 2.147 2.705 2.533 2.361 2.24 2.13 2.469 2.327 2.207 2.108 1.939 1.918 1.748 1.558
0.0105 2.941 2.99 2.915 2.722 2.58 2.441 2.802 2.7 2.578 2.436 2.295 2.147 2.705 2.533 2.361 2.24 2.129 2.469 2.326 2.206 2.107 1.939 1.917 1.748 1.558
0.0107 2.941 2.99 2.915 2.722 2.58 2.441 2.801 2.7 2.577 2.436 2.295 2.146 2.705 2.532 2.36 2.24 2.129 2.469 2.326 2.206 2.107 1.939 1.917 1.748 1.557
0.011 2.94 2.99 2.915 2.722 2.58 2.44 2.801 2.7 2.577 2.435 2.295 2.146 2.705 2.532 2.36 2.239 2.129 2.468 2.326 2.206 2.107 1.939 1.917 1.748 1.557
0.0113 2.94 2.989 2.915 2.722 2.579 2.44 2.801 2.699 2.577 2.435 2.294 2.146 2.704 2.532 2.36 2.239 2.129 2.468 2.325 2.206 2.107 1.938 1.917 1.747 1.557
0.0115 2.934 2.984 2.909 2.716 2.574 2.434 2.795 2.694 2.571 2.429 2.289 2.14 2.699 2.526 2.354 2.234 2.123 2.462 2.32 2.2 2.101 1.933 1.911 1.742 1.551
0.0118 2.926 2.975 2.901 2.708 2.565 2.426 2.787 2.685 2.563 2.421 2.28 2.132 2.69 2.518 2.346 2.225 2.114 2.454 2.311 2.192 2.092 1.924 1.903 1.733 1.543
0.0121 2.918 2.967 2.892 2.699 2.557 2.418 2.778 2.677 2.554 2.412 2.272 2.123 2.682 2.509 2.337 2.217 2.106 2.445 2.303 2.183 2.084 1.916 1.894 1.725 1.534
0.0124 2.909 2.959 2.884 2.691 2.548 2.409 2.77 2.668 2.546 2.404 2.264 2.115 2.673 2.501 2.329 2.208 2.098 2.437 2.294 2.175 2.076 1.907 1.886 1.716 1.526
0.0127 2.901 2.95 2.875 2.682 2.54 2.401 2.762 2.66 2.537 2.396 2.255 2.107 2.665 2.492 2.321 2.2 2.089 2.429 2.286 2.166 2.067 1.899 1.877 1.708 1.518
0.013 2.892 2.942 2.867 2.674 2.531 2.392 2.753 2.651 2.529 2.387 2.247 2.098 2.657 2.484 2.312 2.191 2.081 2.42 2.278 2.158 2.059 1.89 1.869 1.699 1.509
0.0133 2.884 2.933 2.858 2.665 2.523 2.384 2.745 2.643 2.521 2.379 2.238 2.09 2.648 2.475 2.304 2.183 2.072 2.412 2.269 2.149 2.05 1.882 1.86 1.691 1.501
0.0136 2.875 2.925 2.85 2.657 2.515 2.375 2.736 2.635 2.512 2.37 2.23 2.081 2.64 2.467 2.295 2.175 2.064 2.403 2.261 2.141 2.042 1.874 1.852 1.683 1.492
0.014 2.867 2.916 2.842 2.649 2.506 2.367 2.728 2.626 2.504 2.362 2.221 2.073 2.631 2.459 2.287 2.166 2.055 2.395 2.252 2.132 2.033 1.865 1.843 1.674 1.484
0.0143 2.858 2.908 2.833 2.64 2.498 2.359 2.719 2.618 2.495 2.353 2.213 2.064 2.623 2.45 2.278 2.158 2.047 2.386 2.244 2.124 2.025 1.857 1.835 1.666 1.475
0.0146 2.846 2.895 2.82 2.627 2.485 2.346 2.707 2.605 2.483 2.341 2.2 2.052 2.61 2.437 2.266 2.145 2.034 2.374 2.231 2.111 2.012 1.844 1.822 1.653 1.463
0.015 2.833 2.882 2.807 2.615 2.472 2.333 2.694 2.592 2.47 2.328 2.187 2.039 2.597 2.425 2.253 2.132 2.021 2.361 2.218 2.098 1.999 1.831 1.809 1.64 1.45
0.0154 2.82 2.87 2.795 2.602 2.459 2.32 2.681 2.579 2.457 2.315 2.175 2.026 2.584 2.412 2.24 2.119 2.009 2.348 2.205 2.086 1.987 1.818 1.797 1.627 1.437
0.0157 2.807 2.857 2.782 2.589 2.447 2.307 2.668 2.567 2.444 2.302 2.162 2.013 2.572 2.399 2.227 2.106 1.996 2.335 2.193 2.073 1.974 1.806 1.784 1.615 1.424
0.0161 2.794 2.844 2.769 2.576 2.434 2.295 2.655 2.554 2.431 2.289 2.149 2.0 2.559 2.386 2.214 2.094 1.983 2.322 2.18 2.06 1.961 1.793 1.771 1.602 1.411
0.0165 2.782 2.831 2.756 2.563 2.421 2.282 2.643 2.541 2.418 2.277 2.136 1.988 2.546 2.373 2.202 2.081 1.97 2.31 2.167 2.047 1.948 1.78 1.758 1.589 1.399
0.0169 2.769 2.818 2.743 2.55 2.408 2.269 2.63 2.528 2.406 2.264 2.123 1.975 2.533 2.361 2.189 2.068 1.957 2.297 2.154 2.034 1.935 1.767 1.745 1.576 1.386
0.0173 2.756 2.805 2.731 2.538 2.395 2.256 2.617 2.515 2.393 2.251 2.111 1.962 2.52 2.348 2.176 2.055 1.945 2.284 2.141 2.022 1.923 1.754 1.733 1.563 1.373
0.0177 2.743 2.793 2.718 2.525 2.382 2.243 2.604 2.502 2.38 2.238 2.098 1.949 2.508 2.335 2.163 2.042 1.932 2.271 2.129 2.009 1.91 1.741 1.72 1.55 1.36
