# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [type = villar_2comp, mass1 = 0.023, kappa1 = 0.5, velocity1 = 0.256, mass2 = 0.05, kappa2 = 3.65, velocity2 = 0.149]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.001 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.00103 -5.575 -5.533 -5.48 -5.271 -5.015 -4.707 -5.339 -5.236 -5.011 -4.697 -4.358 -3.953 -5.244 -4.918 -4.513 -4.198 -3.893 -4.901 -4.54 -4.23 -4.018 -3.977 -4.557 -4.76 -4.383 -3.266 -2.746 -2.136 -4.618
0.001061 -6.173 -6.07 -5.981 -5.686 -5.388 -5.049 -5.83 -5.643 -5.384 -5.039 -4.679 -4.254 -5.652 -5.281 -4.842 -4.51 -4.192 -5.266 -4.877 -4.553 -4.341 -4.33 -4.894 -5.11 -4.706 -3.547 -3.016 -2.398 -4.963
0.001094 -6.51 -6.372 -6.267 -5.931 -5.613 -5.26 -6.113 -5.884 -5.61 -5.25 -4.88 -4.446 -5.893 -5.501 -5.047 -4.706 -4.382 -5.489 -5.087 -4.757 -4.548 -4.557 -5.103 -5.324 -4.907 -3.728 -3.192 -2.57 -5.175
0.001127 -6.748 -6.588 -6.473 -6.111 -5.782 -5.42 -6.318 -6.063 -5.778 -5.41 -5.033 -4.594 -6.072 -5.667 -5.202 -4.856 -4.529 -5.657 -5.247 -4.914 -4.707 -4.732 -5.261 -5.486 -5.061 -3.869 -3.331 -2.706 -5.336
0.001161 -6.936 -6.759 -6.637 -6.258 -5.921 -5.553 -6.482 -6.208 -5.917 -5.542 -5.162 -4.718 -6.218 -5.804 -5.333 -4.983 -4.653 -5.796 -5.381 -5.046 -4.841 -4.878 -5.393 -5.62 -5.19 -3.99 -3.449 -2.823 -5.469
0.001196 -7.093 -6.904 -6.777 -6.385 -6.042 -5.669 -6.621 -6.334 -6.038 -5.659 -5.275 -4.829 -6.344 -5.923 -5.447 -5.095 -4.763 -5.916 -5.498 -5.162 -4.958 -5.005 -5.508 -5.737 -5.303 -4.097 -3.555 -2.927 -5.586
0.001232 -7.229 -7.03 -6.899 -6.498 -6.15 -5.774 -6.744 -6.446 -6.146 -5.763 -5.377 -4.929 -6.456 -6.03 -5.55 -5.196 -4.863 -6.025 -5.604 -5.267 -5.064 -5.119 -5.613 -5.843 -5.405 -4.195 -3.651 -3.023 -5.691
0.001269 -7.35 -7.144 -7.01 -6.601 -6.249 -5.871 -6.854 -6.548 -6.246 -5.86 -5.472 -5.022 -6.558 -6.129 -5.646 -5.29 -4.956 -6.124 -5.701 -5.363 -5.163 -5.224 -5.709 -5.941 -5.5 -4.286 -3.742 -3.113 -5.789
0.001308 -7.461 -7.248 -7.112 -6.696 -6.342 -5.961 -6.956 -6.643 -6.338 -5.951 -5.562 -5.11 -6.653 -6.221 -5.735 -5.379 -5.043 -6.218 -5.792 -5.454 -5.255 -5.321 -5.8 -6.032 -5.59 -4.372 -3.827 -3.198 -5.879
0.001347 -7.562 -7.344 -7.206 -6.786 -6.43 -6.047 -7.051 -6.733 -6.426 -6.037 -5.646 -5.194 -6.743 -6.308 -5.821 -5.463 -5.127 -6.305 -5.879 -5.54 -5.342 -5.413 -5.885 -6.118 -5.674 -4.455 -3.909 -3.279 -5.966
0.001388 -7.657 -7.435 -7.296 -6.871 -6.513 -6.129 -7.14 -6.818 -6.509 -6.119 -5.727 -5.274 -6.828 -6.391 -5.902 -5.544 -5.207 -6.389 -5.961 -5.623 -5.425 -5.5 -5.967 -6.2 -5.756 -4.534 -3.988 -3.357 -6.048
0.00143 -7.747 -7.521 -7.38 -6.953 -6.593 -6.208 -7.224 -6.899 -6.589 -6.198 -5.805 -5.351 -6.909 -6.47 -5.98 -5.621 -5.284 -6.469 -6.041 -5.702 -5.505 -5.583 -6.046 -6.279 -5.834 -4.611 -4.064 -3.433 -6.127
0.001473 -7.832 -7.603 -7.461 -7.031 -6.67 -6.285 -7.305 -6.977 -6.667 -6.274 -5.881 -5.426 -6.987 -6.547 -6.056 -5.697 -5.359 -6.547 -6.118 -5.778 -5.582 -5.662 -6.122 -6.356 -5.909 -4.685 -4.138 -3.507 -6.203
0.001518 -7.913 -7.681 -7.539 -7.107 -6.745 -6.359 -7.383 -7.053 -6.741 -6.348 -5.955 -5.499 -7.063 -6.622 -6.13 -5.77 -5.432 -6.621 -6.192 -5.852 -5.656 -5.739 -6.196 -6.43 -5.983 -4.758 -4.211 -3.579 -6.277
0.001564 -7.99 -7.757 -7.614 -7.18 -6.818 -6.431 -7.458 -7.126 -6.814 -6.42 -6.026 -5.571 -7.136 -6.694 -6.202 -5.842 -5.503 -6.694 -6.264 -5.925 -5.729 -5.814 -6.268 -6.503 -6.055 -4.829 -4.281 -3.65 -6.35
0.001611 -8.065 -7.83 -7.687 -7.252 -6.889 -6.501 -7.531 -7.198 -6.885 -6.491 -6.097 -5.641 -7.208 -6.765 -6.272 -5.912 -5.573 -6.765 -6.335 -5.995 -5.8 -5.886 -6.338 -6.573 -6.125 -4.898 -4.351 -3.719 -6.42
0.00166 -8.137 -7.902 -7.758 -7.322 -6.958 -6.57 -7.602 -7.267 -6.955 -6.56 -6.165 -5.709 -7.278 -6.835 -6.341 -5.98 -5.642 -6.835 -6.404 -6.065 -5.869 -5.956 -6.407 -6.642 -6.194 -4.967 -4.419 -3.787 -6.489
0.00171 -8.208 -7.971 -7.827 -7.39 -7.026 -6.638 -7.671 -7.336 -7.023 -6.627 -6.233 -5.777 -7.346 -6.903 -6.409 -6.048 -5.709 -6.903 -6.472 -6.132 -5.938 -6.025 -6.475 -6.71 -6.262 -5.034 -4.486 -3.854 -6.557
0.001761 -8.276 -8.038 -7.894 -7.457 -7.093 -6.705 -7.739 -7.403 -7.089 -6.694 -6.3 -5.843 -7.413 -6.969 -6.476 -6.114 -5.776 -6.97 -6.539 -6.199 -6.004 -6.092 -6.542 -6.777 -6.328 -5.1 -4.553 -3.921 -6.624
0.001815 -8.342 -8.105 -7.96 -7.523 -7.159 -6.77 -7.805 -7.469 -7.155 -6.76 -6.365 -5.909 -7.479 -7.035 -6.541 -6.18 -5.841 -7.036 -6.605 -6.265 -6.07 -6.158 -6.608 -6.843 -6.394 -5.166 -4.618 -3.986 -6.689
0.00187 -8.407 -8.169 -8.025 -7.588 -7.224 -6.835 -7.869 -7.533 -7.22 -6.824 -6.43 -5.973 -7.543 -7.1 -6.606 -6.245 -5.906 -7.1 -6.669 -6.33 -6.135 -6.223 -6.672 -6.907 -6.458 -5.231 -4.683 -4.051 -6.754
0.001926 -8.47 -8.233 -8.089 -7.651 -7.288 -6.899 -7.933 -7.597 -7.284 -6.888 -6.494 -6.038 -7.607 -7.164 -6.67 -6.309 -5.97 -7.164 -6.733 -6.393 -6.199 -6.287 -6.736 -6.971 -6.522 -5.295 -4.747 -4.115 -6.818
0.001984 -8.532 -8.295 -8.151 -7.714 -7.351 -6.962 -7.996 -7.66 -7.347 -6.952 -6.557 -6.101 -7.67 -7.227 -6.733 -6.372 -6.033 -7.227 -6.796 -6.457 -6.262 -6.349 -6.799 -7.034 -6.586 -5.358 -4.81 -4.178 -6.881
0.002044 -8.593 -8.357 -8.213 -7.776 -7.413 -7.025 -8.057 -7.722 -7.409 -7.014 -6.62 -6.164 -7.732 -7.289 -6.796 -6.435 -6.096 -7.29 -6.859 -6.519 -6.324 -6.411 -6.862 -7.097 -6.648 -5.421 -4.873 -4.241 -6.944
0.002106 -8.653 -8.417 -8.274 -7.838 -7.475 -7.087 -8.118 -7.784 -7.471 -7.076 -6.682 -6.226 -7.794 -7.351 -6.858 -6.497 -6.158 -7.351 -6.921 -6.581 -6.386 -6.472 -6.924 -7.159 -6.71 -5.483 -4.936 -4.304 -7.006
0.00217 -8.712 -8.477 -8.334 -7.898 -7.536 -7.148 -8.178 -7.844 -7.532 -7.137 -6.743 -6.287 -7.854 -7.412 -6.919 -6.558 -6.22 -7.412 -6.982 -6.642 -6.447 -6.532 -6.985 -7.22 -6.772 -5.545 -4.998 -4.366 -7.067
0.002236 -8.769 -8.536 -8.393 -7.958 -7.596 -7.209 -8.237 -7.904 -7.592 -7.198 -6.804 -6.348 -7.914 -7.472 -6.98 -6.619 -6.281 -7.472 -7.042 -6.703 -6.507 -6.592 -7.046 -7.28 -6.833 -5.606 -5.059 -4.427 -7.128
0.002303 -8.826 -8.594 -8.451 -8.018 -7.656 -7.269 -8.295 -7.964 -7.652 -7.258 -6.865 -6.409 -7.974 -7.532 -7.04 -6.68 -6.342 -7.532 -7.102 -6.763 -6.567 -6.651 -7.106 -7.341 -6.893 -5.667 -5.12 -4.488 -7.188
0.002373 -8.883 -8.651 -8.509 -8.077 -7.715 -7.329 -8.353 -8.023 -7.712 -7.318 -6.925 -6.469 -8.033 -7.592 -7.1 -6.74 -6.402 -7.592 -7.162 -6.823 -6.627 -6.709 -7.166 -7.4 -6.953 -5.728 -5.181 -4.549 -7.247
0.002445 -8.938 -8.708 -8.566 -8.135 -7.774 -7.388 -8.41 -8.081 -7.77 -7.377 -6.984 -6.529 -8.091 -7.651 -7.16 -6.8 -6.462 -7.65 -7.221 -6.882 -6.685 -6.767 -7.225 -7.46 -7.013 -5.788 -5.241 -4.61 -7.307
