# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [kappa = 10.0, type = villar, mass = 0.06299605249512866, velocity = 0.20233333333333337, theta_obs = 0.0, tfloor = 2500.0]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.001 -18.693 -15.168 -11.618 -10.893 -10.399 -9.909 -11.483 -10.817 -10.395 -9.897 -9.432 -8.909 -10.829 -10.242 -9.634 -9.214 -8.831 -15.743 -15.536 -15.556 -15.968 -16.96 -9.734 -10.007 -9.465 -8.09 -7.505 -6.842 -9.844
0.00103 -18.664 -15.141 -11.632 -10.908 -10.413 -9.923 -11.498 -10.831 -10.41 -9.912 -9.446 -8.923 -10.843 -10.256 -9.649 -9.228 -8.845 -15.715 -15.508 -15.528 -15.94 -16.931 -9.748 -10.021 -9.48 -8.104 -7.52 -6.856 -9.859
0.001061 -18.636 -15.115 -11.647 -10.923 -10.429 -9.939 -11.513 -10.847 -10.425 -9.927 -9.462 -8.939 -10.859 -10.272 -9.664 -9.244 -8.861 -15.687 -15.48 -15.5 -15.912 -16.903 -9.763 -10.036 -9.495 -8.12 -7.535 -6.872 -9.874
0.001094 -18.609 -15.09 -11.664 -10.939 -10.445 -9.955 -11.529 -10.863 -10.441 -9.944 -9.478 -8.955 -10.875 -10.288 -9.681 -9.26 -8.878 -15.659 -15.453 -15.472 -15.884 -16.875 -9.78 -10.053 -9.512 -8.137 -7.552 -6.888 -9.89
0.001127 -18.581 -15.065 -11.681 -10.957 -10.463 -9.973 -11.547 -10.881 -10.459 -9.961 -9.496 -8.973 -10.893 -10.306 -9.698 -9.278 -8.895 -15.633 -15.426 -15.445 -15.857 -16.848 -9.797 -10.07 -9.529 -8.154 -7.57 -6.906 -9.908
0.001161 -18.555 -15.041 -11.699 -10.975 -10.481 -9.992 -11.565 -10.899 -10.478 -9.98 -9.515 -8.992 -10.911 -10.324 -9.717 -9.297 -8.914 -15.606 -15.399 -15.419 -15.831 -16.822 -9.816 -10.089 -9.548 -8.173 -7.588 -6.925 -9.927
0.001196 -18.529 -15.018 -11.719 -10.995 -10.501 -10.011 -11.585 -10.919 -10.497 -9.999 -9.534 -9.011 -10.931 -10.344 -9.737 -9.316 -8.934 -15.58 -15.373 -15.393 -15.804 -16.795 -9.836 -10.109 -9.568 -8.193 -7.608 -6.945 -9.946
0.001232 -18.503 -14.995 -11.739 -11.016 -10.522 -10.032 -11.605 -10.94 -10.518 -10.02 -9.555 -9.032 -10.951 -10.365 -9.758 -9.337 -8.954 -15.555 -15.348 -15.367 -15.779 -16.77 -9.856 -10.129 -9.588 -8.213 -7.629 -6.965 -9.967
0.001269 -18.478 -14.972 -11.761 -11.037 -10.543 -10.054 -11.627 -10.961 -10.54 -10.042 -9.577 -9.054 -10.973 -10.387 -9.779 -9.359 -8.976 -15.53 -15.323 -15.342 -15.754 -16.745 -9.878 -10.151 -9.61 -8.235 -7.651 -6.987 -9.989
0.001308 -18.454 -14.951 -11.784 -11.06 -10.566 -10.077 -11.649 -10.984 -10.562 -10.065 -9.6 -9.077 -10.996 -10.409 -9.802 -9.382 -8.999 -15.506 -15.299 -15.318 -15.729 -16.72 -9.901 -10.174 -9.633 -8.258 -7.674 -7.01 -10.012
0.001347 -18.43 -14.93 -11.807 -11.084 -10.59 -10.1 -11.673 -11.007 -10.586 -10.088 -9.623 -9.1 -11.019 -10.433 -9.826 -9.405 -9.023 -15.482 -15.275 -15.294 -15.705 -16.696 -9.925 -10.198 -9.657 -8.282 -7.697 -7.034 -10.035
0.001388 -18.406 -14.909 -11.832 -11.108 -10.614 -10.125 -11.697 -11.032 -10.611 -10.113 -9.648 -9.125 -11.044 -10.458 -9.85 -9.43 -9.047 -15.459 -15.251 -15.27 -15.682 -16.672 -9.949 -10.222 -9.681 -8.307 -7.722 -7.059 -10.06
0.00143 -18.383 -14.89 -11.857 -11.134 -10.64 -10.15 -11.722 -11.057 -10.636 -10.139 -9.674 -9.151 -11.069 -10.483 -9.876 -9.456 -9.073 -15.436 -15.229 -15.247 -15.658 -16.649 -9.975 -10.248 -9.707 -8.332 -7.748 -7.084 -10.085
0.001473 -18.361 -14.871 -11.883 -11.16 -10.666 -10.177 -11.749 -11.084 -10.663 -10.165 -9.7 -9.177 -11.096 -10.509 -9.902 -9.482 -9.1 -15.414 -15.206 -15.225 -15.636 -16.626 -10.001 -10.274 -9.733 -8.359 -7.774 -7.111 -10.112
0.001518 -18.339 -14.853 -11.91 -11.187 -10.694 -10.204 -11.776 -11.111 -10.69 -10.192 -9.727 -9.205 -11.123 -10.537 -9.93 -9.509 -9.127 -15.392 -15.184 -15.203 -15.614 -16.604 -10.029 -10.301 -9.761 -8.386 -7.802 -7.138 -10.139
0.001564 -18.317 -14.835 -11.938 -11.215 -10.722 -10.232 -11.804 -11.139 -10.718 -10.22 -9.756 -9.233 -11.151 -10.565 -9.958 -9.538 -9.155 -15.371 -15.163 -15.181 -15.592 -16.582 -10.057 -10.33 -9.789 -8.415 -7.83 -7.167 -10.167
0.001611 -18.296 -14.818 -11.967 -11.244 -10.751 -10.261 -11.832 -11.168 -10.747 -10.249 -9.785 -9.262 -11.18 -10.594 -9.987 -9.567 -9.184 -15.35 -15.142 -15.16 -15.571 -16.561 -10.086 -10.359 -9.818 -8.444 -7.859 -7.196 -10.196
0.00166 -18.275 -14.801 -11.996 -11.274 -10.78 -10.291 -11.862 -11.197 -10.776 -10.279 -9.814 -9.292 -11.209 -10.623 -10.017 -9.596 -9.214 -15.33 -15.122 -15.14 -15.55 -16.54 -10.115 -10.388 -9.847 -8.473 -7.889 -7.225 -10.226
0.00171 -18.255 -14.786 -12.026 -11.304 -10.811 -10.321 -11.892 -11.228 -10.807 -10.309 -9.845 -9.322 -11.24 -10.654 -10.047 -9.627 -9.244 -15.31 -15.102 -15.119 -15.53 -16.52 -10.146 -10.419 -9.878 -8.504 -7.919 -7.256 -10.256
0.001761 -18.235 -14.771 -12.057 -11.335 -10.842 -10.352 -11.923 -11.259 -10.838 -10.341 -9.876 -9.353 -11.271 -10.685 -10.078 -9.658 -9.276 -15.291 -15.082 -15.1 -15.51 -16.5 -10.177 -10.45 -9.909 -8.535 -7.951 -7.287 -10.287
0.001815 -18.215 -14.756 -12.089 -11.366 -10.873 -10.384 -11.954 -11.29 -10.869 -10.372 -9.908 -9.385 -11.302 -10.716 -10.11 -9.69 -9.307 -15.272 -15.063 -15.08 -15.49 -16.48 -10.209 -10.481 -9.941 -8.567 -7.982 -7.319 -10.319
0.00187 -18.196 -14.742 -12.121 -11.399 -10.905 -10.416 -11.986 -11.323 -10.902 -10.405 -9.94 -9.417 -11.334 -10.749 -10.142 -9.722 -9.34 -15.253 -15.044 -15.061 -15.471 -16.461 -10.241 -10.514 -9.973 -8.599 -8.015 -7.352 -10.351
0.001926 -18.178 -14.729 -12.153 -11.431 -10.938 -10.449 -12.019 -11.355 -10.935 -10.437 -9.973 -9.45 -11.367 -10.782 -10.175 -9.755 -9.373 -15.235 -15.026 -15.043 -15.453 -16.442 -10.274 -10.546 -10.006 -8.632 -8.048 -7.385 -10.384
0.001984 -18.159 -14.717 -12.186 -11.465 -10.972 -10.483 -12.052 -11.389 -10.968 -10.471 -10.006 -9.484 -11.4 -10.815 -10.208 -9.788 -9.406 -15.217 -15.008 -15.025 -15.434 -16.423 -10.307 -10.58 -10.039 -8.666 -8.081 -7.418 -10.418
0.002044 -18.141 -14.705 -12.22 -11.498 -11.005 -10.516 -12.085 -11.422 -11.002 -10.505 -10.04 -9.518 -11.434 -10.849 -10.242 -9.822 -9.44 -15.2 -14.99 -15.007 -15.416 -16.405 -10.341 -10.614 -10.073 -8.7 -8.115 -7.452 -10.451
