# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [kappa = 0.5, type = villar, mass = 0.11727632184323686, velocity = 0.265, theta_obs = 0.0]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.001 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.00103 -5.918 -5.808 -5.716 -5.413 -5.112 -4.77 -5.564 -5.37 -5.108 -4.76 -4.398 -3.972 -5.378 -5.003 -4.562 -4.228 -3.909 -4.989 -4.597 -4.273 -4.061 -4.053 -4.615 -4.831 -4.425 -3.262 -2.73 -2.112 -4.684
0.001061 -6.458 -6.288 -6.168 -5.795 -5.46 -5.094 -6.013 -5.745 -5.456 -5.084 -4.705 -4.262 -5.755 -5.344 -4.875 -4.526 -4.197 -5.335 -4.922 -4.588 -4.381 -4.414 -4.934 -5.161 -4.732 -3.535 -2.995 -2.37 -5.01
0.001094 -6.768 -6.564 -6.431 -6.024 -5.674 -5.296 -6.275 -5.972 -5.67 -5.285 -4.898 -4.449 -5.982 -5.553 -5.071 -4.716 -4.382 -5.549 -5.126 -4.789 -4.587 -4.646 -5.135 -5.366 -4.926 -3.713 -3.169 -2.54 -5.214
0.001127 -6.99 -6.763 -6.623 -6.195 -5.836 -5.45 -6.467 -6.142 -5.832 -5.44 -5.048 -4.593 -6.152 -5.713 -5.223 -4.863 -4.526 -5.711 -5.283 -4.944 -4.747 -4.825 -5.288 -5.522 -5.076 -3.853 -3.306 -2.675 -5.369
0.001161 -7.166 -6.924 -6.778 -6.336 -5.97 -5.58 -6.622 -6.281 -5.966 -5.569 -5.173 -4.716 -6.291 -5.845 -5.35 -4.987 -4.648 -5.847 -5.414 -5.074 -4.881 -4.974 -5.416 -5.652 -5.202 -3.972 -3.423 -2.791 -5.499
0.001196 -7.315 -7.06 -6.91 -6.458 -6.087 -5.693 -6.755 -6.402 -6.083 -5.682 -5.284 -4.824 -6.412 -5.961 -5.461 -5.097 -4.756 -5.965 -5.53 -5.189 -4.999 -5.103 -5.529 -5.766 -5.313 -4.078 -3.528 -2.894 -5.613
0.001232 -7.445 -7.18 -7.027 -6.567 -6.192 -5.796 -6.872 -6.511 -6.189 -5.785 -5.385 -4.923 -6.521 -6.066 -5.563 -5.197 -4.855 -6.071 -5.635 -5.294 -5.105 -5.219 -5.632 -5.87 -5.414 -4.175 -3.624 -2.99 -5.716
0.001269 -7.561 -7.289 -7.134 -6.667 -6.29 -5.891 -6.978 -6.61 -6.286 -5.88 -5.479 -5.016 -6.621 -6.162 -5.657 -5.29 -4.947 -6.17 -5.731 -5.39 -5.204 -5.325 -5.727 -5.966 -5.508 -4.265 -3.714 -3.079 -5.811
0.001308 -7.668 -7.389 -7.232 -6.76 -6.381 -5.98 -7.077 -6.703 -6.377 -5.97 -5.567 -5.103 -6.714 -6.253 -5.746 -5.378 -5.034 -6.261 -5.822 -5.481 -5.296 -5.423 -5.816 -6.055 -5.596 -4.351 -3.799 -3.164 -5.901
