# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [kappa = 3.0, type = villar, mass = 0.012011244339858356, velocity = 0.07700000000000001, theta_obs = 0.0, tfloor = 2500.0]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.001 -16.855 -13.326 -9.666 -8.941 -8.447 -7.957 -9.531 -8.865 -8.443 -7.945 -7.479 -6.956 -8.877 -8.29 -7.682 -7.261 -6.878 -13.905 -13.699 -13.719 -14.131 -15.123 -7.781 -8.054 -7.513 -6.137 -5.553 -4.889 -7.892
0.00103 -16.826 -13.298 -9.677 -8.952 -8.458 -7.968 -9.543 -8.876 -8.454 -7.956 -7.491 -6.968 -8.888 -8.301 -7.693 -7.273 -6.89 -13.876 -13.669 -13.689 -14.102 -15.093 -7.792 -8.065 -7.524 -6.149 -5.564 -4.9 -7.903
0.001061 -16.796 -13.27 -9.689 -8.965 -8.47 -7.98 -9.555 -8.888 -8.467 -7.968 -7.503 -6.98 -8.9 -8.313 -7.706 -7.285 -6.902 -13.847 -13.64 -13.66 -14.072 -15.063 -7.805 -8.078 -7.536 -6.161 -5.577 -4.913 -7.915
0.001094 -16.768 -13.243 -9.702 -8.978 -8.484 -7.994 -9.568 -8.902 -8.48 -7.982 -7.517 -6.994 -8.914 -8.327 -7.719 -7.299 -6.916 -13.818 -13.611 -13.631 -14.043 -15.035 -7.818 -8.091 -7.55 -6.175 -5.59 -4.926 -7.929
0.001127 -16.739 -13.217 -9.717 -8.993 -8.498 -8.008 -9.583 -8.916 -8.495 -7.997 -7.531 -7.008 -8.928 -8.341 -7.734 -7.313 -6.93 -13.79 -13.583 -13.603 -14.015 -15.006 -7.833 -8.106 -7.564 -6.189 -5.605 -4.941 -7.944
0.001161 -16.711 -13.191 -9.732 -9.008 -8.514 -8.024 -9.598 -8.932 -8.51 -8.012 -7.547 -7.024 -8.944 -8.357 -7.749 -7.329 -6.946 -13.762 -13.555 -13.575 -13.987 -14.978 -7.849 -8.121 -7.58 -6.205 -5.621 -4.957 -7.959
0.001196 -16.684 -13.166 -9.749 -9.025 -8.531 -8.041 -9.615 -8.949 -8.527 -8.029 -7.564 -7.041 -8.96 -8.374 -7.766 -7.346 -6.963 -13.735 -13.528 -13.548 -13.96 -14.951 -7.865 -8.138 -7.597 -6.222 -5.637 -4.974 -7.976
0.001232 -16.657 -13.141 -9.767 -9.043 -8.549 -8.059 -9.632 -8.966 -8.545 -8.047 -7.582 -7.059 -8.978 -8.392 -7.784 -7.364 -6.981 -13.708 -13.501 -13.521 -13.933 -14.924 -7.883 -8.156 -7.615 -6.24 -5.655 -4.992 -7.994
0.001269 -16.631 -13.117 -9.785 -9.061 -8.567 -8.078 -9.651 -8.985 -8.564 -8.066 -7.601 -7.078 -8.997 -8.41 -7.803 -7.383 -7.0 -13.682 -13.475 -13.494 -13.906 -14.897 -7.902 -8.175 -7.634 -6.259 -5.674 -5.011 -8.013
0.001308 -16.605 -13.094 -9.805 -9.081 -8.587 -8.098 -9.671 -9.005 -8.584 -8.086 -7.621 -7.098 -9.017 -8.43 -7.823 -7.402 -7.02 -13.656 -13.449 -13.469 -13.88 -14.871 -7.922 -8.195 -7.654 -6.279 -5.694 -5.031 -8.033
0.001347 -16.579 -13.071 -9.826 -9.102 -8.608 -8.118 -9.692 -9.026 -8.604 -8.107 -7.642 -7.119 -9.038 -8.451 -7.844 -7.424 -7.041 -13.631 -13.424 -13.443 -13.855 -14.846 -7.943 -8.216 -7.675 -6.3 -5.715 -5.052 -8.054
0.001388 -16.554 -13.049 -9.848 -9.124 -8.63 -8.14 -9.713 -9.048 -8.626 -8.129 -7.664 -7.141 -9.06 -8.473 -7.866 -7.446 -7.063 -13.606 -13.399 -13.418 -13.83 -14.821 -7.965 -8.238 -7.697 -6.322 -5.738 -5.074 -8.076
0.00143 -16.53 -13.028 -9.87 -9.147 -8.653 -8.163 -9.736 -9.071 -8.649 -8.152 -7.687 -7.164 -9.083 -8.496 -7.889 -7.469 -7.086 -13.582 -13.375 -13.394 -13.805 -14.796 -7.988 -8.261 -7.72 -6.345 -5.761 -5.097 -8.098
0.001473 -16.506 -13.007 -9.894 -9.171 -8.677 -8.187 -9.76 -9.095 -8.673 -8.176 -7.711 -7.188 -9.106 -8.52 -7.913 -7.492 -7.11 -13.559 -13.351 -13.37 -13.782 -14.772 -8.012 -8.285 -7.744 -6.369 -5.785 -5.121 -8.122
0.001518 -16.483 -12.987 -9.919 -9.196 -8.702 -8.212 -9.784 -9.119 -8.698 -8.2 -7.735 -7.213 -9.131 -8.545 -7.938 -7.517 -7.135 -13.536 -13.328 -13.347 -13.758 -14.749 -8.037 -8.31 -7.769 -6.394 -5.81 -5.146 -8.147
0.001564 -16.46 -12.967 -9.944 -9.221 -8.728 -8.238 -9.81 -9.145 -8.724 -8.226 -7.761 -7.238 -9.157 -8.571 -7.964 -7.543 -7.161 -13.513 -13.305 -13.324 -13.735 -14.726 -8.062 -8.335 -7.794 -6.42 -5.835 -5.172 -8.173
0.001611 -16.437 -12.948 -9.971 -9.248 -8.754 -8.265 -9.836 -9.172 -8.75 -8.253 -7.788 -7.265 -9.184 -8.597 -7.99 -7.57 -7.187 -13.491 -13.283 -13.302 -13.713 -14.703 -8.089 -8.362 -7.821 -6.447 -5.862 -5.199 -8.2
0.00166 -16.415 -12.93 -9.998 -9.275 -8.782 -8.292 -9.864 -9.199 -8.778 -8.28 -7.815 -7.293 -9.211 -8.625 -8.018 -7.597 -7.215 -13.469 -13.261 -13.28 -13.691 -14.681 -8.117 -8.389 -7.849 -6.474 -5.89 -5.226 -8.227
0.00171 -16.394 -12.913 -10.026 -9.303 -8.81 -8.32 -9.892 -9.227 -8.806 -8.309 -7.844 -7.321 -9.239 -8.653 -8.046 -7.626 -7.243 -13.448 -13.24 -13.258 -13.669 -14.659 -8.145 -8.418 -7.877 -6.503 -5.918 -5.255 -8.255
0.001761 -16.373 -12.896 -10.055 -9.332 -8.839 -8.35 -9.921 -9.256 -8.835 -8.338 -7.873 -7.35 -9.268 -8.682 -8.075 -7.655 -7.273 -13.427 -13.219 -13.237 -13.648 -14.638 -8.174 -8.447 -7.906 -6.532 -5.947 -5.284 -8.285
0.001815 -16.352 -12.88 -10.085 -9.362 -8.869 -8.379 -9.95 -9.286 -8.865 -8.368 -7.903 -7.38 -9.298 -8.712 -8.105 -7.685 -7.302 -13.407 -13.199 -13.217 -13.627 -14.617 -8.204 -8.477 -7.936 -6.562 -5.977 -5.314 -8.314
0.00187 -16.332 -12.864 -10.115 -9.393 -8.899 -8.41 -9.98 -9.316 -8.895 -8.398 -7.933 -7.411 -9.328 -8.742 -8.136 -7.715 -7.333 -13.388 -13.179 -13.197 -13.607 -14.597 -8.234 -8.507 -7.967 -6.592 -6.008 -5.345 -8.345
0.001926 -16.312 -12.849 -10.146 -9.424 -8.93 -8.441 -10.011 -9.348 -8.927 -8.429 -7.965 -7.442 -9.359 -8.774 -8.167 -7.747 -7.364 -13.368 -13.159 -13.177 -13.587 -14.577 -8.266 -8.538 -7.998 -6.624 -6.039 -5.376 -8.376
0.001984 -16.293 -12.835 -10.178 -9.455 -8.962 -8.473 -10.043 -9.379 -8.958 -8.461 -7.997 -7.474 -9.391 -8.805 -8.199 -7.779 -7.396 -13.349 -13.14 -13.158 -13.568 -14.558 -8.298 -8.57 -8.03 -6.656 -6.071 -5.408 -8.408
0.002044 -16.274 -12.821 -10.21 -9.488 -8.995 -8.505 -10.075 -9.412 -8.991 -8.494 -8.029 -7.506 -9.423 -8.838 -8.231 -7.811 -7.429 -13.331 -13.122 -13.139 -13.549 -14.538 -8.33 -8.603 -8.062 -6.688 -6.104 -5.441 -8.44
