# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [kappa = 10.0, type = villar, mass = 0.11727632184323686, velocity = 0.4686666666666667, theta_obs = 0.0]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.001 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.00103 -4.87 -5.005 -5.091 -5.188 -5.082 -4.889 -5.03 -5.178 -5.079 -4.88 -4.62 -4.284 -5.182 -5.024 -4.745 -4.493 -4.234 -5.013 -4.758 -4.507 -4.317 -4.237 -4.76 -4.917 -4.64 -3.673 -3.189 -2.609 -4.796
0.001061 -5.667 -5.731 -5.752 -5.713 -5.539 -5.294 -5.646 -5.692 -5.536 -5.285 -4.989 -4.621 -5.698 -5.463 -5.127 -4.847 -4.567 -5.448 -5.144 -4.866 -4.664 -4.593 -5.155 -5.333 -5.011 -3.977 -3.476 -2.883 -5.202
0.001094 -6.098 -6.123 -6.115 -6.011 -5.804 -5.534 -5.992 -5.983 -5.8 -5.525 -5.212 -4.83 -5.99 -5.72 -5.357 -5.063 -4.773 -5.703 -5.377 -5.086 -4.879 -4.816 -5.391 -5.579 -5.235 -4.169 -3.66 -3.061 -5.443
0.001127 -6.394 -6.394 -6.368 -6.223 -5.997 -5.712 -6.237 -6.192 -5.993 -5.703 -5.38 -4.988 -6.2 -5.908 -5.529 -5.226 -4.93 -5.891 -5.55 -5.252 -5.043 -4.987 -5.566 -5.76 -5.404 -4.317 -3.804 -3.2 -5.622
0.001161 -6.621 -6.603 -6.565 -6.392 -6.152 -5.857 -6.429 -6.359 -6.149 -5.848 -5.518 -5.12 -6.367 -6.06 -5.669 -5.361 -5.061 -6.043 -5.693 -5.389 -5.179 -5.128 -5.709 -5.908 -5.542 -4.442 -3.926 -3.319 -5.768
0.001196 -6.806 -6.775 -6.728 -6.535 -6.285 -5.983 -6.589 -6.5 -6.281 -5.973 -5.638 -5.235 -6.508 -6.19 -5.791 -5.479 -5.176 -6.173 -5.816 -5.509 -5.298 -5.252 -5.833 -6.035 -5.663 -4.553 -4.034 -3.426 -5.893
0.001232 -6.964 -6.922 -6.868 -6.66 -6.402 -6.095 -6.727 -6.624 -6.399 -6.085 -5.746 -5.34 -6.632 -6.305 -5.901 -5.585 -5.28 -6.288 -5.927 -5.617 -5.405 -5.364 -5.944 -6.148 -5.771 -4.653 -4.132 -3.523 -6.005
0.001269 -7.102 -7.052 -6.993 -6.772 -6.509 -6.197 -6.85 -6.735 -6.505 -6.187 -5.845 -5.436 -6.743 -6.41 -6.001 -5.683 -5.376 -6.394 -6.028 -5.716 -5.504 -5.466 -6.045 -6.251 -5.87 -4.746 -4.224 -3.614 -6.108
0.001308 -7.225 -7.169 -7.106 -6.875 -6.607 -6.292 -6.962 -6.837 -6.604 -6.282 -5.937 -5.527 -6.846 -6.508 -6.094 -5.775 -5.466 -6.491 -6.122 -5.809 -5.597 -5.561 -6.14 -6.347 -5.963 -4.834 -4.311 -3.699 -6.203
