# %ECSV 0.9
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [vej = 0.25689655172413794, mej = 0.024889660212162802, Ye = 0.45, redshift = 0.0]
# schema: astropy-2.0
time sdss_u sdss_g sdss_r sdss_i sdss_z PS1_y ukirt_J ukirt_H ukirt_K johnson_U johnson_B johnson_V johnson_R johnson_I Clear
0.100000 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.150000 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.200000 -14.511024 -15.073746 -15.254732 -15.258986 -15.200738 -15.133295 -14.896810 -14.516681 -14.117334 -14.591704 -14.944905 -15.200441 -15.263508 -15.191669 -15.257991
0.250000 -14.563384 -15.180368 -15.394325 -15.418586 -15.372051 -15.311709 -15.088998 -14.720347 -14.328122 -14.650653 -15.036596 -15.326382 -15.406996 -15.364137 -15.398869
0.300000 -14.532892 -15.220811 -15.478010 -15.528568 -15.497444 -15.446450 -15.241870 -14.888319 -14.505451 -14.628761 -15.057493 -15.392147 -15.495798 -15.491050 -15.484242
0.350000 -14.479466 -15.229067 -15.523992 -15.597544 -15.579913 -15.537107 -15.348413 -15.008082 -14.633397 -14.582804 -15.048732 -15.422481 -15.546251 -15.574851 -15.531697
0.400000 -14.396057 -15.212853 -15.548999 -15.647735 -15.644899 -15.611077 -15.439816 -15.113989 -14.748272 -14.507521 -15.013957 -15.430377 -15.576152 -15.641299 -15.558318
0.450000 -14.306645 -15.183731 -15.556968 -15.678414 -15.688938 -15.663234 -15.507729 -15.195009 -14.837387 -14.425392 -14.968166 -15.422938 -15.588531 -15.686658 -15.567741
0.500000 -14.215173 -15.146387 -15.553003 -15.694928 -15.717513 -15.699141 -15.557877 -15.256999 -14.906686 -14.340453 -14.915842 -15.405097 -15.588540 -15.716425 -15.565086
0.550000 -14.097328 -15.093023 -15.539496 -15.705924 -15.742959 -15.733378 -15.609192 -15.322518 -14.980966 -14.230385 -14.844619 -15.375009 -15.579784 -15.743300 -15.553145
0.600000 -13.977717 -15.033887 -15.517828 -15.707339 -15.758004 -15.756721 -15.648667 -15.375411 -15.042128 -14.118060 -14.768720 -15.337744 -15.562589 -15.759694 -15.532951
0.650000 -13.857541 -14.970571 -15.489811 -15.701111 -15.764660 -15.771226 -15.678439 -15.417882 -15.092423 -14.004731 -14.689632 -15.295024 -15.538793 -15.767625 -15.506325
0.700000 -13.737622 -14.904232 -15.456793 -15.688697 -15.764444 -15.778447 -15.700133 -15.451620 -15.133576 -13.891260 -14.608421 -15.248118 -15.509763 -15.768618 -15.474621
0.750000 -13.618530 -14.835726 -15.419797 -15.671217 -15.758531 -15.779589 -15.715017 -15.477943 -15.166939 -13.778252 -14.525868 -15.197983 -15.476542 -15.763850 -15.438869
0.800000 -13.464918 -14.748262 -15.373605 -15.650631 -15.753141 -15.783477 -15.736986 -15.514967 -15.213227 -13.632592 -14.420027 -15.134571 -15.435300 -15.759967 -15.394307
0.850000 -13.347113 -14.676156 -15.330053 -15.624824 -15.737878 -15.774657 -15.740729 -15.529176 -15.233874 -13.520278 -14.335218 -15.079100 -15.395176 -15.745751 -15.351885
0.900000 -13.191908 -14.583509 -15.276546 -15.595677 -15.723222 -15.768860 -15.752225 -15.555085 -15.268648 -13.372588 -14.225175 -15.009248 -15.346373 -15.732532 -15.299927
0.950000 -13.035368 -14.488194 -15.219589 -15.562634 -15.704424 -15.758779 -15.759171 -15.576231 -15.298527 -13.223400 -14.112828 -14.936264 -15.294031 -15.715148 -15.244490
1.000000 -12.920789 -14.413372 -15.169704 -15.528314 -15.679385 -15.739425 -15.750926 -15.577259 -15.305256 -13.113593 -14.026944 -14.875956 -15.247148 -15.691032 -15.195593
1.050000 -12.764176 -14.315118 -15.108086 -15.489593 -15.654333 -15.722748 -15.750632 -15.590644 -15.327053 -12.963983 -13.912446 -14.799020 -15.189945 -15.667338 -15.135430
1.100000 -12.606846 -14.215092 -15.044071 -15.448115 -15.626323 -15.702998 -15.747053 -15.600578 -15.345296 -12.813528 -13.796465 -14.719942 -15.130272 -15.640668 -15.072844
1.150000 -12.448955 -14.113516 -14.977918 -15.404160 -15.595648 -15.680474 -15.740501 -15.607383 -15.360314 -12.662393 -13.679206 -14.638967 -15.068395 -15.611315 -15.008099
1.200000 -12.290639 -14.010587 -14.909858 -15.357975 -15.562566 -15.655439 -15.731249 -15.611340 -15.372395 -12.510720 -13.560849 -14.556312 -15.004546 -15.579537 -14.941425
1.250000 -12.132020 -13.906477 -14.840090 -15.309777 -15.527300 -15.628123 -15.719536 -15.612696 -15.381791 -12.358636 -13.441552 -14.472165 -14.938929 -15.545559 -14.873024
1.300000 -11.973203 -13.801340 -14.768794 -15.259759 -15.490052 -15.598730 -15.705573 -15.611671 -15.388725 -12.206255 -13.321456 -14.386696 -14.871725 -15.509583 -14.803075
1.350000 -11.814288 -13.695312 -14.696129 -15.208092 -15.450999 -15.567441 -15.689551 -15.608458 -15.393396 -12.053680 -13.200688 -14.300055 -14.803098 -15.471788 -14.731740
1.400000 -11.655364 -13.588519 -14.622242 -15.154933 -15.410303 -15.534422 -15.671638 -15.603232 -15.395980 -11.901004 -13.079364 -14.212380 -14.733195 -15.432335 -14.659164
1.450000 -11.496514 -13.481075 -14.547262 -15.100421 -15.368109 -15.499820 -15.651987 -15.596150 -15.396636 -11.748315 -12.957590 -14.123795 -14.662147 -15.391370 -14.585478
1.500000 -11.337817 -13.373086 -14.471311 -15.044684 -15.324548 -15.463768 -15.630737 -15.587352 -15.395509 -11.595694 -12.835463 -14.034414 -14.590079 -15.349024 -14.510805
1.550000 -11.117352 -13.227837 -14.373609 -14.977011 -15.274979 -15.425374 -15.614389 -15.589574 -15.409175 -11.384242 -12.669242 -13.916777 -14.498142 -15.301263 -14.415001
1.600000 -10.957601 -13.117875 -14.295135 -14.918440 -15.228418 -15.386232 -15.589899 -15.577440 -15.404659 -11.230457 -12.545395 -13.825097 -14.423487 -15.255903 -14.337783
1.650000 -10.798237 -13.007656 -14.216008 -14.858978 -15.180832 -15.345986 -15.564160 -15.563945 -15.398718 -11.076981 -12.421471 -13.732929 -14.348133 -15.209504 -14.259898
1.700000 -10.639325 -12.897262 -14.136317 -14.798720 -15.132316 -15.304732 -15.537269 -15.549189 -15.391450 -10.923881 -12.297545 -13.640359 -14.272171 -15.162163 -14.181434
1.750000 -10.411887 -12.744737 -14.031217 -14.723654 -15.075415 -15.259073 -15.513865 -15.544609 -15.398493 -10.705418 -12.124125 -13.515361 -14.172829 -15.107079 -14.078229
1.800000 -10.252556 -12.633098 -13.949778 -14.661354 -15.024700 -15.215531 -15.484539 -15.527321 -15.388643 -10.551800 -11.999183 -13.421249 -14.095059 -15.057523 -13.997997
1.850000 -10.093883 -12.521516 -13.868023 -14.598510 -14.973310 -15.171237 -15.454316 -15.509026 -15.377722 -10.398767 -11.874464 -13.326977 -14.016929 -15.007280 -13.917435
1.900000 -9.861508 -12.364041 -13.758002 -14.518593 -14.911637 -15.120876 -15.426405 -15.500168 -15.380648 -10.175364 -11.696096 -13.197039 -13.912676 -14.947435 -13.809312
1.950000 -9.702858 -12.251683 -13.674979 -14.454191 -14.858527 -15.074770 -15.394216 -15.479802 -15.367602 -10.022258 -11.570823 -13.101702 -13.833220 -14.895456 -13.727463
2.000000 -9.545057 -12.139588 -13.591853 -14.389458 -14.804955 -15.028125 -15.361340 -15.458636 -15.353688 -9.869931 -11.445977 -13.006415 -13.753617 -14.843003 -13.645495
2.050000 -9.308456 -11.977880 -13.477619 -14.305383 -14.739191 -14.973731 -15.329567 -15.446124 -15.353115 -9.642301 -11.263374 -12.872250 -13.645158 -14.779074 -13.533162
2.100000 -9.151097 -11.865432 -13.393646 -14.239506 -14.684307 -14.925677 -15.295113 -15.423265 -15.337447 -9.490320 -11.138396 -12.776321 -13.564649 -14.725293 -13.450328
2.150000 -8.911264 -11.700678 -13.276500 -14.152629 -14.615827 -14.868634 -15.260861 -15.408464 -15.334721 -9.259479 -10.952694 -12.639184 -13.453298 -14.658660 -13.335089
2.200000 -8.754624 -11.588144 -13.191939 -14.085858 -14.559876 -14.819411 -15.225058 -15.384128 -15.317510 -9.108121 -10.827854 -12.542876 -13.372141 -14.603794 -13.251648
2.250000 -8.511851 -11.420619 -13.072142 -13.996426 -14.488919 -14.759950 -15.188542 -15.367242 -15.312828 -8.874360 -10.639334 -12.403035 -13.258154 -14.534692 -13.133762
