# %ECSV 0.9
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [vej = 0.09482758620689655, mej = 0.008524704073694048, Ye = 0.45, redshift = 0.0]
# schema: astropy-2.0
time sdss_u sdss_g sdss_r sdss_i sdss_z PS1_y ukirt_J ukirt_H ukirt_K johnson_U johnson_B johnson_V johnson_R johnson_I Clear
0.100000 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.150000 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.200000 -13.794828 -14.097301 -14.121509 -14.031113 -13.917571 -13.816619 -13.515112 -13.080664 -12.647480 -13.843777 -14.039813 -14.132006 -14.111831 -13.903049 -14.118680
0.250000 -13.867629 -14.221297 -14.276163 -14.204219 -14.101445 -14.007018 -13.718178 -13.294337 -12.867779 -13.922838 -14.149809 -14.274007 -14.270085 -14.087984 -14.274522
0.300000 -13.883385 -14.289067 -14.375175 -14.322060 -14.230279 -14.142512 -13.866601 -13.453569 -13.033754 -13.944945 -14.203336 -14.360117 -14.372770 -14.217902 -14.374746
0.350000 -13.865680 -14.325104 -14.443588 -14.410016 -14.329651 -14.248802 -13.986314 -13.584493 -13.171662 -13.933792 -14.224638 -14.415151 -14.444993 -14.318400 -14.444415
0.400000 -13.822728 -14.339619 -14.492829 -14.480259 -14.412169 -14.338760 -14.090703 -13.700926 -13.295585 -13.897836 -14.223376 -14.450032 -14.498328 -14.402129 -14.495007
0.450000 -13.769024 -14.337945 -14.522691 -14.529226 -14.472313 -14.405679 -14.170762 -13.791942 -13.393407 -13.850457 -14.207399 -14.466844 -14.531911 -14.463375 -14.526097
0.500000 -13.708904 -14.325002 -14.538420 -14.562354 -14.515627 -14.455169 -14.232233 -13.863394 -13.471053 -13.796065 -14.181473 -14.470700 -14.551028 -14.507694 -14.542943
0.550000 -13.630025 -14.301006 -14.547866 -14.592130 -14.557316 -14.504083 -14.295161 -13.937994 -13.552887 -13.723842 -14.142358 -14.466289 -14.564430 -14.550558 -14.553694
0.600000 -13.563039 -14.273319 -14.544181 -14.603061 -14.576818 -14.528786 -14.329952 -13.981184 -13.601277 -13.661617 -14.103834 -14.452652 -14.563588 -14.570907 -14.550946
0.650000 -13.477692 -14.236515 -14.537090 -14.614090 -14.598484 -14.556907 -14.370597 -14.032251 -13.658793 -13.582146 -14.053634 -14.433235 -14.560020 -14.593622 -14.545016
0.700000 -13.390065 -14.194899 -14.523698 -14.617940 -14.612463 -14.577037 -14.402662 -14.074246 -13.706928 -13.500084 -13.999309 -14.408127 -14.549978 -14.608602 -14.532729
0.750000 -13.300919 -14.149454 -14.505114 -14.615791 -14.619978 -14.590423 -14.427443 -14.108505 -13.747043 -13.416219 -13.941785 -14.378387 -14.534586 -14.617072 -14.515197
0.800000 -13.188863 -14.092938 -14.482808 -14.614455 -14.630985 -14.608932 -14.460516 -14.153692 -13.799709 -13.310868 -13.869905 -14.341864 -14.516351 -14.629299 -14.494234
0.850000 -13.097055 -14.041089 -14.455621 -14.602409 -14.627860 -14.611231 -14.473352 -14.175290 -13.826714 -13.223882 -13.806995 -14.304423 -14.492101 -14.627055 -14.468015
0.900000 -12.980395 -13.977278 -14.424486 -14.591367 -14.628669 -14.619250 -14.495380 -14.208969 -13.867579 -13.113595 -13.728545 -14.259694 -14.464862 -14.629037 -14.438164
0.950000 -12.887455 -13.921089 -14.391059 -14.571957 -14.617535 -14.613153 -14.499075 -14.220808 -13.884438 -13.025083 -13.662170 -14.216792 -14.434152 -14.618721 -14.405632
1.000000 -12.767564 -13.851775 -14.353115 -14.553361 -14.610372 -14.612954 -14.512417 -14.245413 -13.915983 -12.911284 -13.578830 -14.165784 -14.399956 -14.612690 -14.368923
1.050000 -12.645684 -13.779659 -14.311919 -14.531265 -14.599576 -14.609045 -14.521905 -14.266049 -13.943483 -12.795394 -13.492908 -14.111706 -14.362458 -14.603013 -14.328946
1.100000 -12.552233 -13.719036 -14.271719 -14.503698 -14.579489 -14.593518 -14.515257 -14.266788 -13.948771 -12.705893 -13.423172 -14.062993 -14.324702 -14.583667 -14.289551
1.150000 -12.428406 -13.643155 -14.225702 -14.476177 -14.562930 -14.583647 -14.518409 -14.280780 -13.969435 -12.587833 -13.333977 -14.004523 -14.282264 -14.568195 -14.244713
1.200000 -12.303119 -13.565180 -14.177237 -14.446014 -14.543626 -14.570971 -14.518649 -14.291774 -13.987046 -12.468234 -13.242859 -13.943747 -14.237337 -14.549967 -14.197414
1.250000 -12.176506 -13.485291 -14.126526 -14.413426 -14.521801 -14.555721 -14.516216 -14.300017 -14.001858 -12.347238 -13.149985 -13.880860 -14.190129 -14.529209 -14.147857
1.300000 -12.048688 -13.403647 -14.073752 -14.378605 -14.497654 -14.538098 -14.511320 -14.305726 -14.014090 -12.224967 -13.055503 -13.816031 -14.140822 -14.506121 -14.096225
1.350000 -11.919770 -13.320389 -14.019073 -14.341722 -14.471362 -14.518282 -14.504148 -14.309094 -14.023940 -12.101533 -12.959547 -13.749416 -14.089579 -14.480880 -14.042678
1.400000 -11.789847 -13.235644 -13.962634 -14.302930 -14.443082 -14.496435 -14.494867 -14.310293 -14.031583 -11.977034 -12.862234 -13.681150 -14.036546 -14.453644 -13.987361
1.450000 -11.659005 -13.149527 -13.904565 -14.262367 -14.412957 -14.472701 -14.483626 -14.309476 -14.037177 -11.851562 -12.763672 -13.611358 -13.981853 -14.424556 -13.930403
1.500000 -11.527326 -13.062142 -13.844983 -14.220157 -14.381115 -14.447212 -14.470560 -14.306784 -14.040863 -11.725198 -12.663959 -13.540152 -13.925621 -14.393744 -13.871924
1.550000 -11.394883 -12.973586 -13.783996 -14.176415 -14.347673 -14.420085 -14.455794 -14.302343 -14.042770 -11.598021 -12.563185 -13.467635 -13.867957 -14.361327 -13.812032
1.600000 -11.261746 -12.883948 -13.721703 -14.131244 -14.312739 -14.391431 -14.439438 -14.296266 -14.043015 -11.470103 -12.461435 -13.393903 -13.808964 -14.327412 -13.750826
1.650000 -11.082973 -12.768404 -13.645942 -14.080421 -14.276842 -14.364697 -14.430663 -14.302513 -14.058500 -11.298914 -12.328281 -13.301493 -13.738005 -14.293000 -13.676645
1.700000 -10.947378 -12.675912 -13.580589 -14.032101 -14.238727 -14.332850 -14.411113 -14.293258 -14.055576 -11.168488 -12.223781 -13.224780 -13.675931 -14.255900 -13.612372
1.750000 -10.811294 -12.582581 -13.514195 -13.982627 -14.199397 -14.299757 -14.390260 -14.282658 -14.051285 -11.037530 -12.118539 -13.147108 -13.612793 -14.217581 -13.547050
1.800000 -10.674781 -12.488484 -13.446837 -13.932077 -14.158934 -14.265497 -14.368185 -14.270798 -14.045708 -10.906102 -12.012622 -13.068551 -13.548667 -14.178123 -13.480756
1.850000 -10.487241 -12.364607 -13.363117 -13.873627 -14.115661 -14.231565 -14.352617 -14.270637 -14.055028 -10.726194 -11.871003 -12.968010 -13.469807 -14.136363 -13.398636
1.900000 -10.348809 -12.268263 -13.293336 -13.820576 -14.072668 -14.194768 -14.328008 -14.256262 -14.046953 -10.592807 -11.762927 -12.887099 -13.403241 -14.094373 -13.329913
1.950000 -10.210133 -12.171355 -13.222802 -13.766664 -14.028756 -14.157018 -14.302391 -14.240840 -14.037808 -10.459137 -11.654377 -12.805512 -13.335901 -14.051459 -13.260430
2.000000 -10.016264 -12.041647 -13.133625 -13.703055 -13.980543 -14.118298 -14.282377 -14.236559 -14.043219 -10.272957 -11.506781 -12.699347 -13.251635 -14.004782 -13.172870
2.050000 -9.876059 -11.942898 -13.061076 -13.647048 -13.934503 -14.078409 -14.254618 -14.219013 -14.031964 -10.137719 -11.396473 -12.615814 -13.182263 -13.959738 -13.101367
2.100000 -9.735794 -11.843775 -12.987965 -13.590366 -13.887730 -14.037753 -14.226032 -14.200598 -14.019817 -10.002384 -11.285878 -12.531796 -13.112306 -13.913955 -13.029293
2.150000 -9.536191 -11.708833 -12.893916 -13.522169 -13.835134 -13.994794 -14.202108 -14.192725 -14.021842 -9.810528 -11.132904 -12.420597 -13.023218 -13.862917 -12.936877
2.200000 -9.394784 -11.608250 -12.819163 -13.463753 -13.786586 -13.952346 -14.171716 -14.172512 -14.007907 -9.674013 -11.020936 -12.335010 -12.951599 -13.815356 -12.863155
2.250000 -9.191053 -11.469662 -12.721803 -13.392490 -13.731095 -13.906610 -14.145279 -14.162383 -14.007843 -9.478086 -10.864179 -12.220355 -12.859245 -13.761442 -12.767443
