# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: swift_uvot_uvw2, datatype: float64}
# - {name: swift_uvot_uvm2, datatype: float64}
# - {name: swift_uvot_uvw1, datatype: float64}
# - {name: swift_uvot_U, datatype: float64}
# - {name: swift_uvot_B, datatype: float64}
# - {name: swift_uvot_V, datatype: float64}
# - {name: swift_uvot_W, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_g, datatype: float64}
# - {name: PS1_r, datatype: float64}
# - {name: PS1_i, datatype: float64}
# - {name: PS1_z, datatype: float64}
# - {name: PS1_Y, datatype: float64}
# - {name: PS1_w, datatype: float64}
# - {name: ATLAS_c, datatype: float64}
# - {name: ATLAS_o, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: Clear, datatype: float64}
# meta: !!omap
# - comment: [kappa = 1.0, type = villar, mass = 0.022360679775100388, velocity = 0.43733333333333335, theta_obs = 0.0]
# schema: astropy-2.0
time swift_uvot_uvw2 swift_uvot_uvm2 swift_uvot_uvw1 swift_uvot_U swift_uvot_B swift_uvot_V swift_uvot_W johnson_U johnson_B johnson_V johnson_R johnson_I sdss_u sdss_g sdss_r sdss_i sdss_z PS1_g PS1_r PS1_i PS1_z PS1_Y PS1_w ATLAS_c ATLAS_o ukirt_J ukirt_H ukirt_K Clear
0.001 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.00103 -5.216 -5.303 -5.344 -5.349 -5.196 -4.967 -5.251 -5.331 -5.193 -4.959 -4.674 -4.316 -5.336 -5.126 -4.808 -4.537 -4.263 -5.112 -4.824 -4.554 -4.355 -4.28 -4.831 -5.003 -4.695 -3.682 -3.186 -2.598 -4.875
0.001061 -5.952 -5.97 -5.956 -5.84 -5.627 -5.353 -5.831 -5.811 -5.624 -5.344 -5.028 -4.642 -5.818 -5.541 -5.174 -4.877 -4.586 -5.525 -5.194 -4.901 -4.693 -4.632 -5.208 -5.399 -5.051 -3.978 -3.468 -2.868 -5.262
0.001094 -6.354 -6.335 -6.295 -6.121 -5.88 -5.584 -6.159 -6.087 -5.876 -5.575 -5.244 -4.846 -6.095 -5.787 -5.396 -5.087 -4.787 -5.77 -5.419 -5.116 -4.905 -4.855 -5.436 -5.635 -5.268 -4.167 -3.65 -3.044 -5.494
0.001127 -6.632 -6.589 -6.534 -6.323 -6.065 -5.757 -6.393 -6.287 -6.061 -5.747 -5.407 -5.001 -6.295 -5.968 -5.562 -5.247 -4.941 -5.951 -5.589 -5.278 -5.067 -5.026 -5.606 -5.81 -5.432 -4.314 -3.793 -3.183 -5.668
0.001161 -6.846 -6.786 -6.721 -6.485 -6.215 -5.898 -6.576 -6.447 -6.212 -5.888 -5.542 -5.131 -6.456 -6.115 -5.7 -5.379 -5.07 -6.099 -5.728 -5.414 -5.202 -5.168 -5.746 -5.953 -5.568 -4.437 -3.913 -3.301 -5.81
0.001196 -7.022 -6.95 -6.877 -6.623 -6.344 -6.02 -6.73 -6.583 -6.341 -6.01 -5.66 -5.244 -6.592 -6.242 -5.819 -5.495 -5.183 -6.226 -5.85 -5.532 -5.32 -5.292 -5.867 -6.077 -5.686 -4.547 -4.021 -3.407 -5.933
0.001232 -7.173 -7.09 -7.012 -6.744 -6.459 -6.13 -6.864 -6.703 -6.455 -6.12 -5.766 -5.348 -6.712 -6.355 -5.927 -5.6 -5.286 -6.339 -5.958 -5.639 -5.427 -5.404 -5.976 -6.188 -5.792 -4.646 -4.119 -3.503 -6.043
0.001269 -7.306 -7.215 -7.132 -6.854 -6.563 -6.231 -6.983 -6.812 -6.56 -6.22 -5.864 -5.443 -6.821 -6.458 -6.026 -5.696 -5.381 -6.443 -6.058 -5.737 -5.525 -5.507 -6.076 -6.289 -5.89 -4.739 -4.21 -3.594 -6.144
0.001308 -7.426 -7.328 -7.242 -6.954 -6.66 -6.324 -7.092 -6.912 -6.656 -6.314 -5.956 -5.533 -6.921 -6.554 -6.118 -5.787 -5.47 -6.539 -6.152 -5.829 -5.617 -5.602 -6.169 -6.384 -5.982 -4.827 -4.297 -3.679 -6.237
0.001347 -7.535 -7.432 -7.343 -7.048 -6.751 -6.412 -7.192 -7.005 -6.747 -6.402 -6.042 -5.618 -7.014 -6.643 -6.205 -5.873 -5.555 -6.629 -6.24 -5.916 -5.704 -5.693 -6.257 -6.473 -6.069 -4.91 -4.379 -3.761 -6.326
0.001388 -7.636 -7.528 -7.437 -7.137 -6.837 -6.496 -7.286 -7.094 -6.833 -6.486 -6.125 -5.699 -7.103 -6.729 -6.288 -5.955 -5.636 -6.714 -6.323 -5.999 -5.787 -5.778 -6.341 -6.557 -6.151 -4.99 -4.458 -3.84 -6.41
0.00143 -7.73 -7.619 -7.526 -7.221 -6.919 -6.577 -7.374 -7.177 -6.915 -6.567 -6.204 -5.777 -7.186 -6.81 -6.368 -6.033 -5.714 -6.796 -6.404 -6.079 -5.867 -5.86 -6.421 -6.638 -6.231 -5.067 -4.535 -3.916 -6.491
0.001473 -7.819 -7.704 -7.61 -7.302 -6.998 -6.654 -7.458 -7.258 -6.994 -6.644 -6.281 -5.853 -7.267 -6.889 -6.445 -6.11 -5.79 -6.875 -6.481 -6.156 -5.944 -5.939 -6.498 -6.716 -6.307 -5.142 -4.609 -3.99 -6.568
0.001518 -7.903 -7.786 -7.691 -7.379 -7.074 -6.729 -7.538 -7.335 -7.07 -6.719 -6.355 -5.927 -7.344 -6.964 -6.52 -6.184 -5.863 -6.951 -6.556 -6.23 -6.019 -6.015 -6.573 -6.791 -6.382 -5.215 -4.682 -4.062 -6.644
0.001564 -7.983 -7.864 -7.768 -7.454 -7.148 -6.802 -7.616 -7.41 -7.144 -6.792 -6.428 -5.998 -7.419 -7.038 -6.592 -6.256 -5.935 -7.024 -6.629 -6.303 -6.092 -6.089 -6.646 -6.864 -6.454 -5.286 -4.753 -4.133 -6.717
0.001611 -8.06 -7.94 -7.842 -7.527 -7.219 -6.874 -7.69 -7.482 -7.216 -6.863 -6.498 -6.069 -7.491 -7.11 -6.663 -6.326 -6.005 -7.096 -6.7 -6.374 -6.163 -6.161 -6.717 -6.935 -6.525 -5.356 -4.823 -4.203 -6.788
0.00166 -8.133 -8.012 -7.914 -7.598 -7.289 -6.943 -7.762 -7.553 -7.286 -6.933 -6.567 -6.138 -7.562 -7.179 -6.732 -6.395 -6.074 -7.166 -6.77 -6.443 -6.232 -6.231 -6.786 -7.005 -6.594 -5.424 -4.891 -4.271 -6.857
0.00171 -8.204 -8.082 -7.984 -7.666 -7.358 -7.011 -7.832 -7.622 -7.354 -7.001 -6.635 -6.205 -7.631 -7.248 -6.8 -6.463 -6.142 -7.234 -6.838 -6.511 -6.3 -6.3 -6.854 -7.073 -6.662 -5.492 -4.958 -4.338 -6.926
0.001761 -8.273 -8.151 -8.052 -7.734 -7.425 -7.078 -7.9 -7.689 -7.421 -7.068 -6.702 -6.272 -7.698 -7.315 -6.867 -6.53 -6.208 -7.301 -6.905 -6.578 -6.367 -6.367 -6.921 -7.14 -6.729 -5.558 -5.025 -4.405 -6.992
0.001815 -8.34 -8.217 -8.119 -7.8 -7.491 -7.144 -7.966 -7.755 -7.487 -7.134 -6.768 -6.338 -7.764 -7.381 -6.933 -6.595 -6.274 -7.367 -6.971 -6.643 -6.433 -6.433 -6.987 -7.206 -6.794 -5.624 -5.09 -4.47 -7.058
0.00187 -8.405 -8.282 -8.183 -7.865 -7.556 -7.209 -8.031 -7.82 -7.552 -7.198 -6.832 -6.402 -7.829 -7.445 -6.998 -6.66 -6.339 -7.432 -7.035 -6.708 -6.497 -6.497 -7.052 -7.271 -6.859 -5.689 -5.155 -4.535 -7.123
0.001926 -8.468 -8.345 -8.247 -7.928 -7.619 -7.272 -8.094 -7.883 -7.616 -7.262 -6.896 -6.466 -7.892 -7.509 -7.062 -6.724 -6.403 -7.496 -7.099 -6.772 -6.561 -6.561 -7.116 -7.335 -6.923 -5.753 -5.219 -4.599 -7.187
0.001984 -8.529 -8.407 -8.309 -7.991 -7.682 -7.335 -8.156 -7.946 -7.678 -7.325 -6.959 -6.53 -7.955 -7.572 -7.125 -6.787 -6.466 -7.559 -7.162 -6.835 -6.624 -6.624 -7.179 -7.398 -6.986 -5.816 -5.282 -4.662 -7.25
0.002044 -8.589 -8.468 -8.37 -8.053 -7.744 -7.398 -8.217 -8.008 -7.74 -7.387 -7.022 -6.592 -8.017 -7.634 -7.187 -6.85 -6.529 -7.621 -7.224 -6.897 -6.687 -6.686 -7.241 -7.46 -7.049 -5.879 -5.345 -4.725 -7.312
0.002106 -8.648 -8.527 -8.43 -8.113 -7.805 -7.459 -8.277 -8.069 -7.802 -7.449 -7.084 -6.654 -8.078 -7.695 -7.249 -6.912 -6.591 -7.682 -7.286 -6.959 -6.748 -6.747 -7.303 -7.521 -7.11 -5.941 -5.408 -4.788 -7.374
0.00217 -8.706 -8.586 -8.489 -8.173 -7.866 -7.52 -8.336 -8.129 -7.862 -7.51 -7.145 -6.715 -8.138 -7.756 -7.31 -6.973 -6.652 -7.743 -7.347 -7.02 -6.809 -6.807 -7.364 -7.582 -7.172 -6.003 -5.469 -4.849 -7.434
0.002236 -8.762 -8.643 -8.547 -8.233 -7.926 -7.581 -8.394 -8.188 -7.922 -7.57 -7.205 -6.776 -8.197 -7.816 -7.37 -7.034 -6.713 -7.803 -7.407 -7.081 -6.87 -6.867 -7.424 -7.642 -7.232 -6.064 -5.531 -4.911 -7.495
0.002303 -8.818 -8.7 -8.604 -8.291 -7.985 -7.64 -8.452 -8.247 -7.981 -7.63 -7.266 -6.837 -8.256 -7.876 -7.43 -7.094 -6.773 -7.862 -7.467 -7.141 -6.93 -6.927 -7.484 -7.702 -7.292 -6.125 -5.592 -4.972 -7.554
