Type dm7_i M_i
Ia 0.1621807165327418 -19.601231394563513
Ia 0.3707346983369213 -19.713160245650258
Ia 0.2514135859684039 -18.012570770879027
Ia 0.08521728133453621 -18.444191137443912
Ia 0.011352204184468917 -20.006873618378936
Ia 0.09102110639717154 -19.082365311837652
Ia 0.19936261728100035 -19.266076287433684
Ia 0.14922770890995452 -17.91365413349847
Ia 0.03246416273960406 -19.362592677564926
Ia 0.11398242263027214 -18.38626645074001
Ia 0.2914715791387934 -19.238397716452635
Ia 0.24997156285952826 -18.81304406336151
Ia 0.07204360444954006 -18.782687909839176
Ia 0.16366743470902279 -19.242498939160765
Ia 0.21183749690137077 -19.267164523699787
Ia 0.3105102995778317 -19.648586250776994
Ia 0.2533399375815506 -19.44928150025832
Ia 0.3336736312361168 -19.644002417011084
Ia 0.1761234222228758 -19.115565160346467
Ia 0.2916026766998421 -19.275699793198687
Ia 0.29048897031009346 -19.270149163960962
Ia 0.22212540377896417 -19.715356380996358
Ia 0.196347385377436 -19.59528117770548
Ia 0.1992961396362105 -19.379681221131502
Ia 0.44731105384547476 -19.4487049917566
Ia 0.3699328571088607 -19.32978825091554
Ia 0.15107721838738541 -19.454002278606314
Ia 0.030821636560879995 -18.900991292369337
Ia 0.18555884368189268 -19.6306766359104
Ia 0.21880601753375473 -19.306372346785796
Ia 0.2224260417181867 -18.61248480905651
Ia 0.16343780107665395 -18.822707623531038
Ia 0.15865776373804863 -19.102659711257164
Ia 0.3500619595096275 -18.01518532601565
Ia 0.181099034540825 -18.922358628330382
Ia 0.16535569237624514 -18.85061475659768
Ia 0.3511391375890831 -19.25902309135408
Ia 0.18985177354177907 -19.11579509414148
Ia 0.07041140364503917 -18.50796156328393
Ia 0.13484531875233685 -18.921692629909604
Ia 0.21639668176086602 -18.433504854506275
Ia 0.20578874451037876 -18.71379876484512
Ia 0.2612495992517907 -19.44756071382921
Ia 0.08466477732487832 -17.550537768051004
Ia 0.3909720521881752 -18.859083541451444
Ia 0.22713960111746445 -19.20156790397937
Ia 0.12266922238099554 -17.97949591772803
Ia 0.3304997132106138 -18.355908473415603
Ia 0.28607634234164436 -19.115218437975813
Ia 0.31967091066956854 -19.473398674769427
Ia 0.30942282840642577 -17.41526021128301
Ia 0.16721015960294672 -18.488384165871405
Ia 0.2848652812095054 -19.273965066283193
